"","Cond.","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","beta2.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","beta2.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","beta2.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","beta2.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","beta2.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","beta2.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","beta2.power","beta2.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"21","Cond21","0.9","1","0","0","10","80","1","CSMMA","0","0.3","0","0.1","0.000284081394840673","-0.00985965112652648","-0.00072125388758712","-0.000178260169538741","-0.00142062357636111","-0.000973815678650803","0.000284081394840673","-0.0164327518775442","-0.00072125388758712","-0.000178260169538741","-0.0142062357636111","-0.00973815678650805","0.0409436469126433","0.0357772880090033","0.0403357850347105","0.0465922056112909","0.0456582103694559","0.0420758299815163","0.0378174030945673","0.0405442729416028","0.0466311077176067","0.0454597654565542","0.0276522282269719","0.0570226308112183","0.00516880746743668","0.00083494880324769","-0.00434631386766893","0.953364423717522","0.957361758827448","0.948034643570953","0.954030646235843","0.952031978680879","1",NA,"0.0466355762824783","1",NA,NA,"0.0519653564290473","0.599600266489007",NA,"0.622251832111925",NA,NA,"0","1","0.3002"
"22","Cond22","0.9","1","0","0.3","10","80","1","CSMMA","0","0.3","0.3","0.1","0.00401044446525605","-0.00543359490287854","-0.00322336838704823","0.00104614654052663","0.000501160910309754","0.000216898388249951","0.00401044446525605","-0.00905599150479756","-0.0107445612901608","0.00104614654052663","0.00501160910309759","0.00216898388249953","0.0408899090439709","0.0348305407345762","0.0371867120440524","0.0449144273692476","0.042193274984513","0.0417724204737661","0.0368663092742839","0.0375876439692013","0.0451873802218354","0.0410432773088312","0.0215826214933903","0.0584478017502275","0.0107815911413177","0.00607717538829737","-0.0272554732028702","0.950418160095579","0.950418160095579","0.94205495818399","0.958781362007168","0.954599761051374","1",NA,"0.0495818399044205","1",NA,"1",NA,"0.6415770609319",NA,"0.701911589008363",NA,NA,"0.0436081242532855","1","0.3348"
"23","Cond23","0.9","1","0.6","0","10","80","1","CSMMA","0.3","0.3","0","0.1","-0.0068573773654872","-0.0112339214614332","0.00354090870513366","0.00196620071585495","-0.000658691116805636","0.000887206989347262","-0.011428962275812","-0.018723202435722","0.00354090870513366","0.00196620071585495","-0.00658691116805638","0.00887206989347258","0.0371224539103779","0.0388455387148302","0.042715383536265","0.0421056946757321","0.0439152399519145","0.0384710881693185","0.0405458431562879","0.0435052736117003","0.0420435855798694","0.0451414552849515","0.0363293402477242","0.0437709064595511","0.0184919345220141","-0.00147507590935236","0.0279223188665168","0.952933591231464","0.950354609929078","0.9464861379755","0.96067053513862","0.957446808510638","1","1",NA,"1",NA,NA,"0.0535138620245003","0.690522243713733",NA,"0.643455834945197",NA,NA,"0.0444874274661509","1","0.3102"
"24","Cond24","0.9","1","0.6","0.3","10","80","1","CSMMA","0.3","0.3","0.3","0.1","-0.00722971492054898","-0.00446127384860957","-0.00151555860313037","-0.00315844366432126","-0.00113819764319164","0.000345572965078368","-0.0120495248675817","-0.00743545641434936","-0.0050518620104345","-0.0175469092462293","-0.0113819764319165","0.00345572965078367","0.0388367052113086","0.0363385040230019","0.039294593547336","0.0446788443299859","0.0393708994535379","0.0385467856848077","0.0379036372399671","0.0386551474324981","0.042435738143744","0.0387787497975101","-0.00746509068993893","0.0430709314828823","-0.016273132182103","-0.0502051075823464","-0.0150402877314655","0.942926533090467","0.949605343047966","0.934426229508197","0.942926533090467","0.951426836672738","0.998178506375228","0.999392835458409",NA,"1",NA,"1",NA,"0.665452337583485",NA,"0.746812386156648",NA,"0.999392835458409",NA,"1","0.3294"
"25","Cond25","0.45","1","0","0","10","120","1","CSMMA","0","0.3","0","0.1","-0.00174758807269716","-0.00505316614083814","-0.000162428110174072","-0.000126979662770917","0.000491479391912494","0.000564831971463246","-0.00174758807269716","-0.00842194356806362","-0.000162428110174072","-0.000126979662770917","0.00491479391912492","0.00564831971463245","0.0353518468473115","0.0298965404560794","0.0334772663058756","0.0382444703179074","0.0383182096522664","0.0348194641863484","0.0314811613109639","0.0339693733993832","0.0381010674845797","0.0376365188368028","-0.0150595430915533","0.0530034857114145","0.0146997394892172","-0.00374963575480713","-0.0177902574689662","0.937331172339276","0.945434900054025","0.947055645596975","0.949216639654241","0.948676391139924","1",NA,"0.0626688276607239","1",NA,NA,"0.0529443544030254","0.754186925985953",NA,"0.75796866558617",NA,NA,"0","1","0.3702"
"26","Cond26","0.45","1","0","0.3","10","120","1","CSMMA","0","0.3","0.3","0.1","-0.00205466795997791","-0.00512738874922917","-0.000852253653088638","-0.000861723582167827","-0.00121201339885226","0.00140813371161061","-0.00205466795997791","-0.00854564791538189","-0.00284084551029555","-0.000861723582167827","-0.0121201339885225","0.0140813371161061","0.0348456007386785","0.0292565394256728","0.0325996708498412","0.0385541737779074","0.0364213886235786","0.0348910045822745","0.0307413561230948","0.0316767708634563","0.0378834197783256","0.0347312872234495","0.00130300074136989","0.0507516174698012","-0.0283101013699142","-0.0173977013084419","-0.0464040901239815","0.948588709677419","0.957661290322581","0.939012096774194","0.946068548387097","0.938004032258065","1",NA,"0.0514112903225806","1",NA,"1",NA,"0.737399193548387",NA,"0.807459677419355",NA,NA,"0.0433467741935484","1","0.3968"
"27","Cond27","0.45","1","0.6","0","10","120","1","CSMMA","0.3","0.3","0","0.1","-0.00451964875049216","-0.0061272778151862","-0.000286272700287428","-0.000260272609425473","-0.00072454212844638","0.000988806536419444","-0.00753274791748693","-0.010212129691977","-0.000286272700287428","-0.000260272609425473","-0.00724542128446387","0.00988806536419445","0.0325096636441016","0.0329264376617498","0.0359581377060718","0.0367779524457805","0.0387640689205204","0.0318337227783354","0.0338945914685952","0.0361548490040469","0.0349533913804733","0.0375001888541691","-0.0207919981321849","0.0294035393926055","0.00547056412050539","-0.0496101861025852","-0.0326044221245885","0.933031218529708","0.949647532729104","0.943605236656596","0.942598187311178","0.944108761329305","1","1",NA,"1",NA,NA,"0.0563947633434038","0.794058408862034",NA,"0.769385699899295",NA,NA,"0.0493454179254783","1","0.3972"
"28","Cond28","0.45","1","0.6","0.3","10","120","1","CSMMA","0.3","0.3","0.3","0.1","-0.00472473103604164","-0.00408458969453436","-0.00103553150971781","-0.00217739566021722","0.000609276438473455","0.000154814607011293","-0.00787455172673609","-0.00680764949089067","-0.00345177169905934","-0.0120966425567623","0.00609276438473458","0.00154814607011292","0.0331494378984769","0.0313687860811759","0.0330048780612292","0.0361914068921404","0.0340498929478079","0.0320993033285895","0.0318924380202659","0.032435850020115","0.0346692877717206","0.0319106488729904","-0.0316788047237356","0.0166934078269684","-0.0172407254484798","-0.0420574730613868","-0.0628267489150866","0.936658354114713","0.94713216957606","0.940149625935162","0.939650872817955","0.937655860349127","0.997506234413965","1",NA,"1",NA,"1",NA,"0.811471321695761",NA,"0.851371571072319",NA,"1",NA,"1","0.401"
"29","Cond29","0.9","1","0","0","10","120","1","CSMMA","0","0.3","0","0.1","-0.000797653045706227","-0.00649525510218466","-0.000162241110797329","-0.000157239159346683","-0.00175769703015513","0.000481697229996354","-0.000797653045706227","-0.0108254251703077","-0.000162241110797329","-0.000157239159346683","-0.0175769703015513","0.00481697229996358","0.0352465763866777","0.029753416931711","0.0347999999666725","0.0391803986622655","0.0380286451989126","0.0349658519223292","0.0317249283679276","0.0339269852703162","0.0381860799667953","0.0374169950757265","-0.00796458814237219","0.066261681498346","-0.0250866292296656","-0.0253779626910178","-0.0160839314676283","0.940899581589958","0.950836820083682","0.941945606694561","0.945083682008368","0.939853556485356","1",NA,"0.0591004184100418","1",NA,NA,"0.0580543933054393","0.746861924686193",NA,"0.769351464435146",NA,NA,"0","1","0.3824"
"30","Cond30","0.9","1","0","0.3","10","120","1","CSMMA","0","0.3","0.3","0.1","0.00115867895288931","-0.00595946910818581","-0.000522617692022284","0.000188851737551845","0.000114475217185458","-0.00122956697479803","0.00115867895288931","-0.00993244851364298","-0.00174205897340759","0.000188851737551845","0.00114475217185453","-0.0122956697479802","0.034572047018162","0.0295764889774967","0.0319748270579047","0.0400436783009695","0.0364063507232886","0.0347321180921718","0.0307116139474004","0.0313065088797242","0.0373026806082629","0.0339570287945607","0.00463007220618942","0.0383793008956331","-0.0209013852356471","-0.06845019760935","-0.0672773260727031","0.945027486256872","0.948025987006497","0.935532233883059","0.941529235382309","0.934032983508246","1",NA,"0.0549725137431284","1",NA,"1",NA,"0.76511744127936",NA,"0.804597701149425",NA,NA,"0.047976011994003","1","0.4002"
