,Cond.,Rho12,a.p.cs,b.s,cp.p.cs,K,beta,postVar,Method,a.para,cp.para,b.para,beta.para,a.bias,cp.bias,b.bias,ab.bias,beta.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta.Ebias,a.empSE,cp.empSE,b.empSE,beta.empSE,a.meanSE,cp.meanSE,b.meanSE,beta.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta.power,beta.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
274,Cond82,0.45,0,0,0.6,30,0.1,1,2,3.27E-05,0.312318142,0.000158492,0.103727624,-0.001540605,-0.004761786,0.000408902,-6.85E-05,-0.000826548,-0.001540605,-0.007623295,0.000408902,-6.85E-05,-0.007968449,0.028410588,0.026836584,0.020468457,0.026921489,0.02645783,0.025523043,0.021545103,0.026192189,-0.068733458,-0.048945916,0.052600242,-0.027089876,0.924843424,0.924843424,0.960334029,0.936586639,1,NA,0.075156576,1,NA,NA,0.040187891,0.955636743,NA,NA,0.000521921,1,0.7664
275,Cond83,0.45,0,0.3,0,30,0.1,1,2,-0.000240258,-0.000246788,0.082180197,0.104487655,-0.000161179,0.001768172,-0.000674539,4.66E-06,-0.001071869,-0.000161179,0.001768172,-0.008208048,4.66E-06,-0.010258328,0.028105251,0.028314856,0.021525192,0.028970553,0.027102814,0.027214131,0.021873302,0.027814085,-0.03566723,-0.038874474,0.016172193,-0.039918745,0.939232138,0.932875667,0.951690821,0.934909738,1,NA,0.060767862,NA,0.066870074,0.959827104,NA,0.94101195,NA,NA,0.024917366,1,0.7866
276,Cond84,0.45,0,0.3,0.6,30,0.1,1,2,0.000158644,0.312926904,0.08225632,0.103867114,0.00075167,-0.006557023,-0.000736153,-5.25E-06,-0.001449924,0.00075167,-0.010476924,-0.008949502,-5.25E-06,-0.013959411,0.028275625,0.026445086,0.020202003,0.027561363,0.026427912,0.025470326,0.021455341,0.026206874,-0.065346486,-0.036859753,0.062040281,-0.049144509,0.929001834,0.928739848,0.958082264,0.931097721,1,NA,0.071260152,1,NA,0.971443542,NA,0.948388787,NA,NA,0.037463977,1,0.7634
277,Cond85,0.45,0.6,0,0,30,0.1,1,2,0.313518335,0.000144077,-0.000229946,0.104986512,-0.007829393,-0.000329172,-3.96E-05,-3.48E-05,-0.001151296,-0.01248634,-0.000329172,-3.96E-05,-3.48E-05,-0.010966128,0.026287989,0.029366752,0.022301721,0.029361957,0.025411195,0.028478532,0.023752873,0.026984595,-0.033353432,-0.030245756,0.065069037,-0.080967401,0.934231379,0.936344427,0.958267301,0.927363973,1,1,NA,NA,0.063127311,NA,0.04199683,0.942947702,NA,NA,0.039091389,1,0.7572
278,Cond86,0.45,0.6,0,0.6,30,0.1,1,2,0.313480511,0.312167992,0.000303855,0.1033475,-0.006990825,-0.007002331,0.001379984,0.000791642,-0.000398551,-0.011150334,-0.011215645,0.001379984,0.000791642,-0.003856418,0.026197777,0.027183107,0.022141082,0.027792914,0.024697045,0.027026222,0.023329865,0.025389027,-0.057284681,-0.00577143,0.053691265,-0.086492783,0.929042469,0.942495384,0.960696386,0.921392772,1,1,NA,1,NA,NA,0.039831179,0.959641256,NA,NA,0.038248483,1,0.7582
279,Cond87,0.45,0.6,0.3,0,30,0.1,1,2,0.313498043,0.06696585,0.08282567,0.105102939,-0.005728045,0.001608141,-0.000707997,-0.000891154,-0.001644891,-0.009135695,0.001608141,-0.008548033,-0.017160218,-0.015650283,0.025796733,0.028736967,0.022563463,0.029079684,0.025420596,0.028406006,0.023608366,0.026715395,-0.014580799,-0.011516931,0.046309521,-0.081303789,0.936751692,0.939875065,0.960176991,0.921915669,1,1,NA,NA,0.658511192,0.940655908,NA,0.943779282,NA,0.938313378,NA,1,0.7684
280,Cond88,0.45,0.6,0.3,0.6,30,0.1,1,2,0.313186763,0.379728223,0.082298985,0.102989979,-0.005910933,-0.007597079,0.000792496,-6.57E-05,-0.000653741,-0.009436754,-0.010003311,0.009629475,-0.001274302,-0.006347613,0.02655494,0.026729361,0.020737427,0.026233088,0.02439398,0.026054014,0.022634011,0.02410014,-0.081376957,-0.025266077,0.091457081,-0.08130754,0.914516549,0.942924159,0.962991921,0.923898879,0.99973938,1,NA,1,NA,0.959343237,NA,0.972374251,NA,0.9627313,NA,1,0.7674
281,Cond89,0.9,0,0,0,30,0.1,1,2,0.000122412,0.000700925,0.000257304,0.045091035,-0.000274478,-0.000543176,-0.00035024,-1.16E-05,0.000580558,-0.000274478,-0.000543176,-0.00035024,-1.16E-05,0.012875236,0.022041894,0.022159672,0.020285971,0.023908958,0.022692875,0.022822632,0.021808048,0.023383257,0.029533803,0.029917407,0.075031039,-0.02198761,0.948260482,0.946922391,0.962087422,0.944246209,1,NA,0.050847458,NA,0.05352364,NA,0.036128457,0.505798394,NA,NA,0,1,0.4484
282,Cond90,0.9,0,0,0.6,30,0.1,1,2,0.00011132,0.141885143,-0.000350791,0.051283136,-0.000778733,-0.001960081,0.000620205,-3.68E-05,-0.000254988,-0.000778733,-0.006907282,0.000620205,-3.68E-05,-0.004972153,0.022136407,0.023050631,0.02113838,0.023100461,0.022578727,0.022718183,0.021550088,0.02334072,0.019981553,-0.01442251,0.019476827,0.01040062,0.953422438,0.944511948,0.950992305,0.948562171,1,NA,0.046577562,1,NA,NA,0.04981774,0.598622924,NA,NA,0,1,0.4938
283,Cond91,0.9,0,0.3,0,30,0.1,1,2,-8.19E-05,-0.000245435,0.014930388,0.045456921,-0.001806815,0.001458246,0.000692134,-5.40E-05,-0.000427747,-0.001806815,0.001458246,0.04635742,-5.40E-05,-0.009409951,0.021936618,0.022014436,0.020335079,0.023992586,0.022657662,0.022893599,0.021753704,0.023623196,0.03286944,0.039935737,0.06976242,-0.015395999,0.949892009,0.955075594,0.962850972,0.94600432,1,NA,0.049676026,NA,0.045356371,0.100647948,NA,0.495464363,NA,NA,0.000431965,1,0.463
