,Cond.,Rho12,a.p.cs,b.s,cp.p.cs,K,beta,postVar,Method,a.para,cp.para,b.para,beta.para,a.bias,cp.bias,b.bias,ab.bias,beta.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta.Ebias,a.empSE,cp.empSE,b.empSE,beta.empSE,a.meanSE,cp.meanSE,b.meanSE,beta.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta.power,beta.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
310,Cond118,0.45,0.6,0,0.6,5,0.1,1.5,2,0.300002199,0.298007821,-0.000108783,0.099888763,-0.008910594,-0.00265546,-0.000616248,-0.000692523,-0.0061281,-0.014850881,-0.004455352,-0.000616248,-0.000692523,-0.061349246,0.064810077,0.080552965,0.054906683,0.097342506,0.060030971,0.070616891,0.060696979,0.078740416,-0.073740176,-0.123348333,0.105457048,-0.191099349,0.903954802,0.888888889,0.952919021,0.90960452,1,0.990583804,NA,0.949152542,NA,NA,0.047080979,0.340238544,NA,NA,0.026993095,1,0.3186
311,Cond119,0.45,0.6,0.3,0,5,0.1,1.5,2,0.299849788,0.055021877,0.110334727,0.099600818,-0.011835541,0.001133292,0.00048314,-0.000730139,0.00203756,-0.019735784,0.001133292,0.004378853,-0.011034683,0.02045726,0.065286899,0.085827839,0.055139949,0.103683043,0.060602493,0.074468455,0.060689561,0.084250984,-0.071751083,-0.132350808,0.100645947,-0.187417909,0.912048193,0.911445783,0.960843373,0.913253012,0.996385542,0.987349398,NA,NA,0.165060241,0.46746988,NA,0.334939759,NA,0.365662651,NA,1,0.332
312,Cond120,0.45,0.6,0.3,0.6,5,0.1,1.5,2,0.299684654,0.35671465,0.110147895,0.099849499,-0.009202632,-0.013564601,0.000887639,-0.000928813,-0.002664533,-0.015353859,-0.019013238,0.008058611,-0.014068818,-0.026685495,0.063654255,0.079664049,0.053005414,0.095304177,0.060362805,0.069086406,0.058624415,0.075139532,-0.051708246,-0.132778121,0.106008053,-0.211581965,0.913739988,0.897104128,0.961799137,0.913123845,0.997535428,0.986444855,NA,0.974121996,NA,0.479975354,NA,0.365988909,NA,0.446703635,NA,1,0.3246
313,Cond121,0.9,0,0,0,5,0.1,1.5,2,0.000175675,0.000646794,-0.000257007,0.04511785,0.00522616,0.001288057,0.002873342,-0.000122694,-0.000769685,0.00522616,0.001288057,0.002873342,-0.000122694,-0.017059431,0.05493687,0.063046801,0.05217929,0.084872393,0.058819835,0.065200071,0.057530421,0.07738415,0.07068049,0.034153509,0.102552767,-0.088229434,0.947271045,0.958371878,0.964847364,0.95559667,1,NA,0.052728955,NA,0.039777983,NA,0.035152636,0.118408881,NA,NA,0,1,0.2162
314,Cond122,0.9,0,0,0.6,5,0.1,1.5,2,-0.000254174,0.141250346,0.000213319,0.050548543,0.013441845,-0.007599563,0.001960532,2.55E-05,-0.001692769,0.013441845,-0.026901043,0.001960532,2.55E-05,-0.033487997,0.053920929,0.068268626,0.051696263,0.086966897,0.058366262,0.065516907,0.057292378,0.076340411,0.082441712,-0.040307216,0.108249901,-0.122190018,0.947506562,0.948381452,0.9720035,0.944006999,1,NA,0.052493438,0.592300962,NA,NA,0.0279965,0.160979878,NA,NA,0,1,0.2286
315,Cond123,0.9,0,0.3,0,5,0.1,1.5,2,0.000636032,-0.000473396,0.07116791,0.045716798,0.002449751,0.007761651,-0.000867981,0.000183001,-0.001103729,0.002449751,0.007761651,-0.012196248,0.000183001,-0.024142753,0.055906932,0.062448301,0.053108906,0.0812075,0.058775918,0.064728777,0.057562172,0.078182649,0.051317165,0.036517824,0.08385159,-0.037248416,0.947267498,0.945349952,0.95493768,0.940556088,1,NA,0.049856184,NA,0.054650048,0.228187919,NA,0.117929051,NA,NA,0,1,0.2086
316,Cond124,0.9,0,0.3,0.6,5,0.1,1.5,2,8.80E-05,0.139993073,0.073410392,0.050724017,0.003244389,-0.007053429,-0.001346437,-7.41E-05,-0.001272909,0.003244389,-0.025192065,-0.018341226,-7.41E-05,-0.025094795,0.054294738,0.063997936,0.052683836,0.087630223,0.057838028,0.063884805,0.057062227,0.07808032,0.065260283,-0.001767729,0.083106899,-0.108979552,0.953883495,0.952265372,0.953074434,0.939320388,1,NA,0.046116505,0.600323625,NA,0.24433657,NA,0.151294498,NA,NA,0,1,0.2472
317,Cond125,0.9,0.6,0,0,5,0.1,1.5,2,0.13877722,0.000332863,4.60E-05,0.04466979,-0.001296846,0.003597251,-8.56E-05,-0.000104326,-0.001878653,-0.004672403,0.003597251,-8.56E-05,-0.000104326,-0.042056462,0.051195691,0.064735822,0.0517726,0.093259587,0.057786242,0.06695097,0.058514891,0.080534912,0.128732537,0.034218268,0.13022895,-0.136443612,0.961050725,0.952898551,0.96557971,0.954710145,1,0.679347826,NA,NA,0.047101449,NA,0.03442029,0.115942029,NA,NA,0.005434783,1,0.2208
318,Cond126,0.9,0.6,0,0.6,5,0.1,1.5,2,0.138453676,0.141182107,0.000121319,0.050223181,-0.00126214,-0.007478978,0.005610006,0.001208561,-0.000999879,-0.004557988,-0.026486991,0.005610006,0.001208561,-0.019908707,0.05282931,0.06527445,0.055664629,0.091576089,0.057312929,0.065096078,0.058537011,0.078403287,0.084869926,-0.002732643,0.051601574,-0.14384543,0.949628406,0.948802642,0.943022296,0.943022296,1,0.67877787,NA,0.587943848,NA,NA,0.056977704,0.130470685,NA,NA,0.01073493,1,0.2422
319,Cond127,0.9,0.6,0.3,0,5,0.1,1.5,2,0.138316655,0.03005921,0.067974752,0.045445552,-0.006626832,0.002197175,0.001314066,0.000145078,0.002698572,-0.023955293,0.002197175,0.019331675,0.007715257,0.059380326,0.052694483,0.069704808,0.05158382,0.085447868,0.057666764,0.066111249,0.057833654,0.07771563,0.094360561,-0.051553959,0.121158805,-0.090490701,0.959482759,0.93362069,0.965517241,0.943103448,0.992241379,0.642241379,NA,NA,0.087068966,0.218965517,NA,0.127586207,NA,0.042241379,NA,1,0.232
320,Cond128,0.9,0.6,0.3,0.6,5,0.1,1.5,2,0.138189708,0.178650034,0.072632843,0.05499004,0.000535768,-0.00896212,0.001837382,0.000203439,0.000405404,0.001938525,-0.025082895,0.025296853,0.010134325,0.007372319,0.05271372,0.066942329,0.051221085,0.086061849,0.057370798,0.0645398,0.05697285,0.076430458,0.088346598,-0.035889541,0.112292909,-0.111912435,0.954849498,0.941471572,0.961538462,0.939799331,0.992474916,0.688963211,NA,0.780100334,NA,0.255016722,NA,0.172240803,NA,0.049331104,NA,1,0.2392
321,Cond129,0.45,0,0,0,10,0,1.5,2,-0.000502204,0.000180538,0.000183337,-0.000250356,0.003420728,0.001562811,-0.000722876,7.36E-05,0.002486699,0.003420728,0.001562811,-0.000722876,7.36E-05,0.002486699,0.04716577,0.050350873,0.038730563,0.056325797,0.046124774,0.047824421,0.040357867,0.051903083,-0.022071012,-0.050176914,0.042016027,-0.078520211,0.925703565,0.923076923,0.947467167,0.92195122,1,NA,0.075046904,NA,0.076923077,NA,0.051407129,NA,0.077298311,NA,0.000375235,1,0.533
322,Cond130,0.45,0,0,0.6,10,0,1.5,2,0.000240379,0.300348358,-0.00038895,0.000398959,-0.003890901,-0.008583423,0.000836601,-0.00016921,-0.001156175,-0.003890901,-0.014289113,0.000836601,-0.00016921,-0.001156175,0.04811783,0.048553836,0.036389775,0.05502226,0.045291827,0.044395896,0.039336689,0.048327121,-0.058730889,-0.085635667,0.080981907,-0.121680557,0.925027975,0.91234614,0.958597538,0.91383812,1,NA,0.075345021,0.99925401,NA,NA,0.042148452,NA,0.08765386,NA,0.000372995,1,0.5362
323,Cond131,0.45,0,0.3,0,10,0,1.5,2,-0.000159775,0.000151616,0.110410071,0.000315949,0.002255588,0.000584252,-0.002359996,0.000304255,-0.001354025,0.002255588,0.000584252,-0.021374821,0.000304255,-0.001354025,0.047077352,0.050961392,0.038509928,0.055747129,0.046631608,0.047287408,0.03983684,0.051377156,-0.009468338,-0.072093477,0.034456369,-0.078389207,0.929285714,0.916785714,0.947142857,0.922142857,1,NA,0.071071429,NA,0.083571429,0.770714286,NA,NA,0.076785714,NA,0.016428571,1,0.56
324,Cond132,0.45,0,0.3,0.6,10,0,1.5,2,0.000780991,0.299972121,0.110751889,0.000410836,-0.000915439,-0.009561476,-0.002221189,-0.000331075,-0.001266896,-0.000915439,-0.015937274,-0.020055544,-0.000331075,-0.001266896,0.046726967,0.048398259,0.036761798,0.053593856,0.044993147,0.044376813,0.038835225,0.048394324,-0.037105348,-0.083090722,0.056401674,-0.097017315,0.926855895,0.915574964,0.95014556,0.906477438,1,NA,0.072416303,0.999636099,NA,0.806404658,NA,NA,0.093522562,NA,0.021106259,1,0.5496
325,Cond133,0.45,0.6,0,0,10,0,1.5,2,0.30023617,-0.000305663,-0.000150879,-0.000364814,-0.007872703,-0.000610891,-1.39E-05,2.48E-06,-0.000418324,-0.013110851,-0.000610891,-1.39E-05,2.48E-06,-0.000418324,0.044119729,0.051165027,0.039672076,0.056642739,0.043441128,0.050044776,0.042987907,0.050468513,-0.015380907,-0.021894859,0.083580974,-0.109002955,0.928545388,0.922347794,0.960991615,0.915785636,1,1,NA,NA,0.076923077,NA,0.039737514,NA,0.083849799,NA,0.031352534,1,0.5486
326,Cond134,0.45,0.6,0,0.6,10,0,1.5,2,0.300020039,0.299798663,2.82E-05,0.00018294,-0.005393985,-0.008799881,0.001259039,0.000435675,-0.001638362,-0.008989375,-0.014676318,0.001259039,0.000435675,-0.001638362,0.045557841,0.049474149,0.038858912,0.052774971,0.042613301,0.046949907,0.042201301,0.047313342,-0.064632992,-0.051021436,0.086013456,-0.103488996,0.916666667,0.928097345,0.961651917,0.92219764,1,1,NA,1,NA,NA,0.038348083,NA,0.078171091,NA,0.032817109,1,0.5424
327,Cond135,0.45,0.6,0.3,0,10,0,1.5,2,0.300277714,0.056604231,0.110172037,0.00027716,-0.005056453,0.001111314,-0.00135909,-0.001371591,0.000383681,-0.008419627,0.001111314,-0.012336071,-0.020730038,0.000383681,0.045837729,0.052722454,0.039705271,0.056692061,0.043270821,0.049560096,0.042266699,0.050174299,-0.055999898,-0.059981231,0.064511027,-0.114967801,0.916145642,0.917616771,0.955130563,0.920191247,0.999264435,1,NA,NA,0.243104082,0.738506804,NA,NA,0.080176535,0.709819787,NA,1,0.5438
328,Cond136,0.45,0.6,0.3,0.6,10,0,1.5,2,0.300112095,0.357217655,0.110188114,-0.000237145,-0.007804695,-0.008876872,-0.000262251,-0.001079103,-0.001156021,-0.013002966,-0.012425019,-0.002380032,-0.01631604,-0.001156021,0.044306749,0.04922417,0.037053994,0.050141654,0.042510212,0.045624126,0.040745079,0.045287487,-0.040547697,-0.073135698,0.099613701,-0.096809063,0.927520632,0.91352709,0.964477933,0.916038751,0.999641191,1,NA,0.999641191,NA,0.777179763,NA,NA,0.08360244,0.778973807,NA,1,0.5574
329,Cond137,0.9,0,0,0,10,0,1.5,2,5.78E-05,6.14E-05,5.42E-05,-0.000431545,0.001582025,0.004880845,0.001325327,3.62E-05,-0.001006389,0.001582025,0.004880845,0.001325327,3.62E-05,-0.001006389,0.037205427,0.040503851,0.036621945,0.045738163,0.040816151,0.042188299,0.039830785,0.046239577,0.097048338,0.041587342,0.087620696,0.010962709,0.95392279,0.95516812,0.9626401,0.946450809,1,NA,0.04607721,NA,0.04483188,NA,0.0373599,NA,0.053549191,NA,0,1,0.3212
330,Cond138,0.9,0,0,0.6,10,0,1.5,2,0.000261207,0.138681064,0.000212946,0.000455478,-0.000767731,0.002076339,0.000530381,-2.04E-05,-1.17E-05,-0.000767731,0.007486021,0.000530381,-2.04E-05,-1.17E-05,0.03895596,0.040146518,0.037285638,0.047500212,0.040562036,0.04166579,0.039785766,0.045513062,0.041228001,0.037843176,0.067053377,-0.041834555,0.949879227,0.958937198,0.963768116,0.946859903,1,NA,0.051328502,0.910628019,NA,NA,0.036231884,NA,0.053140097,NA,0,1,0.3312
331,Cond139,0.9,0,0.3,0,10,0,1.5,2,-0.000279482,0.000173956,0.070282681,5.95E-05,-0.001564002,-0.001987278,-0.000130215,-0.000211383,-0.001135062,-0.001564002,-0.001987278,-0.00185273,-0.000211383,-0.001135062,0.038388156,0.042199944,0.037079959,0.047095562,0.040499268,0.042435108,0.039745537,0.045805938,0.05499383,0.005572615,0.071887315,-0.027383142,0.961340206,0.956829897,0.956185567,0.942010309,1,NA,0.038659794,NA,0.042525773,0.419458763,NA,NA,0.058634021,NA,0.00257732,1,0.3104
332,Cond140,0.9,0,0.3,0.6,10,0,1.5,2,-7.72E-05,0.138507485,0.073136904,-0.000238275,-0.000537232,0.002070642,-0.00095787,-7.12E-05,0.001442132,-0.000537232,0.00747484,-0.013096941,-7.12E-05,0.001442132,0.03889332,0.039637939,0.035476769,0.044755393,0.040737901,0.041581674,0.039455452,0.045110992,0.047426686,0.049037237,0.112148977,0.007945401,0.95128045,0.951905059,0.969394129,0.95065584,1,NA,0.04871955,0.900687071,NA,0.444722049,NA,NA,0.04934416,NA,0.003123048,1,0.3202
333,Cond141,0.9,0.6,0,0,10,0,1.5,2,0.138227235,-4.12E-05,0.000220041,0.00021872,0.004298626,0.0018335,-0.000431041,-4.58E-05,0.001875385,0.01554913,0.0018335,-0.000431041,-4.58E-05,0.001875385,0.038003408,0.041479271,0.03640145,0.047557411,0.040143916,0.042659898,0.040376279,0.04628991,0.056324122,0.028463063,0.109194245,-0.026652037,0.955994898,0.946428571,0.954719388,0.94005102,1,0.929846939,NA,NA,0.052933673,NA,0.045280612,NA,0.058035714,NA,0.014030612,1,0.3136
334,Cond142,0.9,0.6,0,0.6,10,0,1.5,2,0.138614579,0.138553274,0.000146903,0.000126992,0.002806395,0.000137862,0.000854124,0.000107091,-0.00134821,0.010123016,0.000497504,0.000854124,0.000107091,-0.00134821,0.038078175,0.042188387,0.038211826,0.044612084,0.040311853,0.042042998,0.039931928,0.045099911,0.058660329,-0.003446183,0.04501491,0.010934856,0.955662073,0.93888556,0.942480527,0.947872978,1,0.929298981,NA,0.889155183,NA,NA,0.057519473,NA,0.052127022,NA,0.019173158,1,0.3338
335,Cond143,0.9,0.6,0.3,0,10,0,1.5,2,0.138492443,0.030943079,0.067565425,-0.000324547,0.00241111,0.001758667,-0.000399374,3.58E-05,-0.000140351,0.008704845,0.001758667,-0.005910928,0.001912738,-0.000140351,0.038998684,0.042440818,0.035543327,0.045915735,0.040288199,0.04256644,0.040197376,0.04558487,0.033065601,0.002959933,0.130940181,-0.007205906,0.954949615,0.941315945,0.967990516,0.947243628,0.997036159,0.921161826,NA,NA,0.120924718,0.373443983,NA,NA,0.052756372,0.196206283,NA,1,0.3374
336,Cond144,0.9,0.6,0.3,0.6,10,0,1.5,2,0.138836783,0.174822363,0.072511147,8.41E-05,0.00229907,0.002739437,-0.000384289,0.000114698,0.001483728,0.008279758,0.007834915,-0.00529972,0.005696587,0.001483728,0.03917483,0.040449812,0.03608473,0.045705748,0.040156703,0.041961534,0.0397812,0.044957185,0.025063876,0.037372806,0.102438635,-0.016377875,0.943493151,0.950342466,0.965182648,0.944634703,0.99543379,0.935502283,NA,0.979452055,NA,0.437785388,NA,NA,0.055936073,0.264840183,NA,1,0.3504
337,Cond145,0.45,0,0,0,10,0.1,1.5,2,0.000297668,0.001295608,0.000769225,0.099565302,0.000288463,-0.002075099,-0.000157003,-5.14E-05,-0.003708335,0.000288463,-0.002075099,-0.000157003,-5.14E-05,-0.037245259,0.048441503,0.049999786,0.038096203,0.056832473,0.046357359,0.047251368,0.040066628,0.051326752,-0.043023914,-0.0549686,0.05172234,-0.096876312,0.924814815,0.917037037,0.954814815,0.918518519,1,NA,0.075555556,NA,0.082592593,NA,0.045185185,0.50962963,NA,NA,0.00037037,1,0.54
338,Cond146,0.45,0,0,0.6,10,0.1,1.5,2,-9.54E-05,0.300520966,0.000196493,0.099700176,-0.001898238,-0.009803031,4.73E-05,-0.000245092,-0.000522589,-0.001898238,-0.016310062,4.73E-05,-0.000245092,-0.005241605,0.047597023,0.048221608,0.037634932,0.054132227,0.045326317,0.044210045,0.039533788,0.048264466,-0.047706888,-0.083190164,0.050454616,-0.10839681,0.920658683,0.906437126,0.958832335,0.918413174,1,NA,0.079341317,0.999251497,NA,NA,0.040793413,0.576721557,NA,NA,0,1,0.5344
339,Cond147,0.45,0,0.3,0,10,0.1,1.5,2,-0.000278864,0.000754581,0.110198108,0.100305818,0.001662751,-0.002502551,-0.00191385,0.000115626,-0.002709107,0.001662751,-0.002502551,-0.01736736,0.000115626,-0.027008474,0.048431158,0.050838051,0.037951247,0.054063069,0.04576053,0.046952796,0.039350302,0.050741341,-0.055142767,-0.076424137,0.036864534,-0.061441715,0.924064563,0.909757887,0.950843727,0.920396185,1,NA,0.075935437,NA,0.088774762,0.782831988,NA,0.53595011,NA,NA,0.017975055,1,0.5452
340,Cond148,0.45,0,0.3,0.6,10,0.1,1.5,2,-0.000272549,0.299685218,0.11046934,0.100659532,-9.16E-05,-0.007962799,-0.001822898,-0.00023965,-0.00301777,-9.16E-05,-0.013285271,-0.016501397,-0.00023965,-0.029979972,0.046310962,0.048080874,0.037301133,0.052001995,0.045283804,0.044240834,0.03882814,0.047616967,-0.022179571,-0.079866259,0.040937258,-0.084324214,0.932432432,0.915266618,0.949963477,0.92366691,1,NA,0.067202337,0.99926954,NA,0.791453616,NA,0.571219869,NA,NA,0.018626735,1,0.5476
341,Cond149,0.45,0.6,0,0,10,0.1,1.5,2,0.300006088,-0.000900162,0.000215305,0.1002381,-0.004250766,-0.0010765,0.001164256,0.000763016,-0.000628197,-0.007084467,-0.0010765,0.001164256,0.000763016,-0.006267043,0.044758556,0.053077047,0.039597155,0.056268075,0.0429922,0.049953897,0.042852989,0.05041861,-0.039464092,-0.058841822,0.082223933,-0.103957073,0.923335826,0.917352281,0.959985041,0.917352281,1,1,NA,NA,0.081151832,NA,0.038893044,0.548242334,NA,NA,0.030291698,1,0.5348
342,Cond150,0.45,0.6,0,0.6,10,0.1,1.5,2,0.29985185,0.300844673,4.81E-05,0.099840555,-0.004995182,-0.011486269,0.001096691,0.000540766,-0.001473152,-0.008329417,-0.019090033,0.001096691,0.000540766,-0.014755044,0.04580641,0.050478441,0.040502198,0.053642888,0.04275291,0.047074761,0.042048492,0.047292248,-0.066660968,-0.067428383,0.038178041,-0.118387372,0.920527307,0.919397363,0.949905838,0.919020716,1,1,NA,0.999246704,NA,NA,0.049717514,0.597363465,NA,NA,0.039548023,1,0.531
343,Cond151,0.45,0.6,0.3,0,10,0.1,1.5,2,0.299809964,0.056802693,0.110438594,0.100227206,-0.005557908,-0.003269156,-0.001410467,-0.001420711,-0.001339733,-0.009269051,-0.003269156,-0.012771507,-0.02145402,-0.013366958,0.045639798,0.052441979,0.041219894,0.056715804,0.043115953,0.049422652,0.042178256,0.050493944,-0.055299226,-0.057574617,0.023249974,-0.109702393,0.918374817,0.922401171,0.949121523,0.912152269,0.999267936,1,NA,NA,0.237920937,0.718155198,NA,0.554904832,NA,0.685944363,NA,1,0.5464
344,Cond152,0.45,0.6,0.3,0.6,10,0.1,1.5,2,0.300123736,0.356196797,0.110163603,0.099686559,-0.008754793,-0.006457008,0.000853754,-0.000639779,-0.001292142,-0.014585306,-0.009063822,0.007749873,-0.009675239,-0.012962047,0.045129429,0.048096226,0.036465119,0.050877564,0.042148523,0.045463524,0.040628436,0.045570996,-0.066052387,-0.054738234,0.114172589,-0.10430076,0.919502378,0.927186242,0.964507867,0.909989023,0.999634102,1,NA,1,NA,0.789608489,NA,0.605195756,NA,0.790340285,NA,1,0.5466
345,Cond153,0.9,0,0,0,10,0.1,1.5,2,0.000202144,-0.000518655,-0.000100855,0.045801679,0.00157061,0.00239096,0.001408615,-8.01E-06,-0.00123245,0.00157061,0.00239096,0.001408615,-8.01E-06,-0.026908395,0.038740896,0.039433768,0.036002806,0.044401,0.040750031,0.04208645,0.039930726,0.045930105,0.05186081,0.067269308,0.10910038,0.034438517,0.955289673,0.964105793,0.965365239,0.95906801,1,NA,0.044080605,NA,0.036523929,NA,0.034634761,0.176322418,NA,NA,0,1,0.3176
346,Cond154,0.9,0,0,0.6,10,0.1,1.5,2,-0.0003064,0.141123226,0.00013175,0.051358825,0.000456951,0.000959556,0.000445125,-5.78E-05,-0.001881833,0.000456951,0.003399711,0.000445125,-5.78E-05,-0.036640885,0.037228665,0.04042768,0.037541063,0.046569153,0.040672556,0.041803664,0.039624957,0.045632523,0.092506438,0.034035693,0.055509739,-0.020112658,0.959672338,0.950220542,0.958412098,0.946439824,1,NA,0.040957782,0.913673598,NA,NA,0.042218021,0.238815375,NA,NA,0,1,0.3174
347,Cond155,0.9,0,0.3,0,10,0.1,1.5,2,-0.000471995,0.0001342,0.07032008,0.045720978,0.002042014,0.001915745,0.000951523,0.000159065,-0.000686257,0.002042014,0.001915745,0.01353131,0.000159065,-0.015009684,0.038061996,0.041915473,0.036254195,0.04681875,0.040452475,0.041588217,0.0395829,0.045526564,0.062804873,-0.007807539,0.091815722,-0.02759976,0.958098812,0.945590994,0.959349593,0.951844903,1,NA,0.039399625,NA,0.055034396,0.424015009,NA,0.212007505,NA,NA,0.001250782,1,0.3198
348,Cond156,0.9,0,0.3,0.6,10,0.1,1.5,2,0.000503666,0.140825481,0.073158358,0.050840842,-0.000628403,-0.001321571,0.000108512,-0.000107327,-0.00187832,-0.000628403,-0.00469223,0.001483249,-0.000107327,-0.036945094,0.037334716,0.040934212,0.037624311,0.045900511,0.040788616,0.041445743,0.039362658,0.044606285,0.092511772,0.012496422,0.046202738,-0.028196349,0.961882073,0.942227516,0.959499702,0.942823109,1,NA,0.038117927,0.899940441,NA,0.464562239,NA,0.235854675,NA,NA,0.002977963,1,0.3358
349,Cond157,0.9,0.6,0,0,10,0.1,1.5,2,0.137906854,7.45E-05,-0.00016348,0.045327566,0.001614925,-0.000522212,0.00235645,0.000606043,9.87E-05,0.005855131,-0.000522212,0.00235645,0.000606043,0.002178182,0.038933318,0.040082108,0.037867437,0.045380774,0.04028731,0.04275741,0.040782369,0.045679854,0.034777224,0.066745539,0.076977282,0.006590457,0.94760101,0.960858586,0.954545455,0.958964646,1,0.914141414,NA,NA,0.039772727,NA,0.046717172,0.190656566,NA,NA,0.013257576,1,0.3168
350,Cond158,0.9,0.6,0,0.6,10,0.1,1.5,2,0.138679615,0.139879218,-0.000293311,0.051078067,0.000126902,0.003934016,-0.001570458,-0.000467297,-0.002317909,0.000457537,0.01406219,-0.001570458,-0.000467297,-0.045379733,0.037941528,0.042322714,0.037575976,0.047247412,0.040054132,0.042014426,0.04006732,0.045180869,0.055680506,-0.007284216,0.066301511,-0.043738755,0.955899198,0.934135166,0.959335624,0.936426117,1,0.934135166,NA,0.90091638,NA,NA,0.040091638,0.231386025,NA,NA,0.01489118,1,0.3492
351,Cond159,0.9,0.6,0.3,0,10,0.1,1.5,2,0.139021357,0.031438447,0.068460207,0.045155001,-0.000349289,0.000807328,-0.00190416,-0.000647332,-0.001398789,-0.001256242,0.000807328,-0.027814118,-0.034007697,-0.030977493,0.039273871,0.041142895,0.036992637,0.046861551,0.040101507,0.042728655,0.039963425,0.045812188,0.021073435,0.038542729,0.080307562,-0.022392834,0.944981862,0.953446191,0.961305925,0.946191052,0.99637243,0.927448609,NA,NA,0.125151149,0.3808948,NA,0.187424426,NA,0.199516324,NA,1,0.3308
352,Cond160,0.9,0.6,0.3,0.6,10,0.1,1.5,2,0.139033169,0.177651866,0.072736066,0.055202767,-0.001275045,-0.00253959,0.000681218,-1.66E-05,0.002768778,-0.004585397,-0.007147658,0.009365619,-0.000819712,0.050156507,0.03831939,0.042808449,0.036877722,0.046646031,0.039816333,0.042029694,0.03953297,0.045052321,0.039064898,-0.018191621,0.072001411,-0.034166051,0.95243553,0.939255014,0.957593123,0.946131805,0.996561605,0.936389685,NA,0.971346705,NA,0.466475645,NA,0.285959885,NA,0.276217765,NA,1,0.349
353,Cond161,0.45,0,0,0,30,0,1.5,2,-0.000191072,3.75E-05,0.000242259,-0.000137031,-0.001136686,0.001835049,0.000259483,2.18E-05,5.16E-06,-0.001136686,0.001835049,0.000259483,2.18E-05,5.16E-06,0.027409046,0.027960243,0.02227134,0.028453119,0.026901715,0.026925365,0.022502405,0.027721408,-0.018509634,-0.037012495,0.010374984,-0.025716354,0.935178441,0.934207332,0.950716193,0.935178441,1,NA,0.064336004,NA,0.065792668,NA,0.047584365,NA,0.064336004,NA,0.000242777,1,0.8238
354,Cond162,0.45,0,0,0.6,30,0,1.5,2,3.39E-05,0.299499179,0.000323289,0.000115959,5.73E-05,-0.005630199,-0.000228146,-9.04E-05,-0.000428895,5.73E-05,-0.009399357,-0.000228146,-9.04E-05,-0.000428895,0.027193036,0.026362912,0.021299348,0.027678416,0.02633663,0.025400756,0.022010737,0.026134141,-0.031493594,-0.036496572,0.033399598,-0.055793479,0.934171598,0.933925049,0.949211045,0.930226824,1,NA,0.065335306,1,NA,NA,0.050295858,NA,0.070266272,NA,0.000246548,1,0.8112
355,Cond163,0.45,0,0.3,0,30,0,1.5,2,0.000542746,-0.000190272,0.110534547,-0.000525915,-0.00029975,0.000779348,-0.001234502,-4.11E-05,0.000694388,-0.00029975,0.000779348,-0.011168469,-4.11E-05,0.000694388,0.027801834,0.027726881,0.021688054,0.029134984,0.026820395,0.026892777,0.022276267,0.027658048,-0.035301214,-0.030082865,0.027121535,-0.050692876,0.935994159,0.935994159,0.951326357,0.93039669,1,NA,0.063762473,NA,0.064249209,0.998053054,NA,NA,0.070820151,NA,0.043076174,1,0.8218
356,Cond164,0.45,0,0.3,0.6,30,0,1.5,2,0.000389313,0.300346217,0.110408721,-7.65E-05,-0.00143115,-0.007208081,-0.001401907,-0.000263121,0.000304915,-0.00143115,-0.011999621,-0.012697433,-0.000263121,0.000304915,0.027776706,0.026112295,0.020949784,0.027380744,0.026255223,0.025316575,0.021777098,0.025988972,-0.05477551,-0.030472993,0.039490325,-0.050830344,0.92843089,0.935809149,0.954500738,0.928922774,0.999754058,NA,0.070831284,1,NA,0.99877029,NA,NA,0.071077226,NA,0.052139695,1,0.8132
357,Cond165,0.45,0.6,0,0,30,0,1.5,2,0.299660855,0.000532457,-0.000740528,-0.00046282,-0.005259701,-0.001359134,0.001182967,0.00064171,8.03E-05,-0.008776089,-0.001359134,0.001182967,0.00064171,8.03E-05,0.02592242,0.028848845,0.023231039,0.029380921,0.025285013,0.028273118,0.024083281,0.027022761,-0.024589037,-0.019956672,0.036685483,-0.080261602,0.935733933,0.941485371,0.954738685,0.929482371,1,1,NA,NA,0.058014504,NA,0.04476119,NA,0.069517379,NA,0.041010253,1,0.7998
358,Cond166,0.45,0.6,0,0.6,30,0,1.5,2,0.299905058,0.300015075,4.02E-05,0.000395015,-0.006225655,-0.00715597,0.000989528,0.000503062,-0.001162023,-0.010379377,-0.011926017,0.000989528,0.000503062,-0.001162023,0.025776151,0.02747388,0.022508746,0.027509764,0.024814958,0.026834058,0.02363128,0.025361612,-0.037290035,-0.023288384,0.049870989,-0.078086909,0.934226855,0.93621246,0.958550509,0.919334823,1,1,NA,1,NA,NA,0.041201291,NA,0.080168776,NA,0.039215686,1,0.8058
