"Cond#","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","missingRate"
"Cond106","0.45","0","0","0.3","5","120","1","0.4"
"Cond107","0.45","0","0.6","0","5","120","1","0.4"
"Cond108","0.45","0","0.6","0.3","5","120","1","0.4"
"Cond109","0.9","0","0","0","5","120","1","0.4"
"Cond110","0.9","0","0","0.3","5","120","1","0.4"
"Cond111","0.9","0","0.6","0","5","120","1","0.4"
"Cond112","0.9","0","0.6","0.3","5","120","1","0.4"
"Cond113","0.45","0","0","0","10","80","1","0.4"
"Cond114","0.45","0","0","0.3","10","80","1","0.4"
"Cond115","0.45","0","0.6","0","10","80","1","0.4"
"Cond116","0.45","0","0.6","0.3","10","80","1","0.4"
"Cond117","0.9","0","0","0","10","80","1","0.4"
"Cond118","0.9","0","0","0.3","10","80","1","0.4"
"Cond119","0.9","0","0.6","0","10","80","1","0.4"
"Cond120","0.9","0","0.6","0.3","10","80","1","0.4"
"Cond121","0.45","0","0","0","10","120","1","0.4"
"Cond122","0.45","0","0","0.3","10","120","1","0.4"
"Cond123","0.45","0","0.6","0","10","120","1","0.4"
"Cond124","0.45","0","0.6","0.3","10","120","1","0.4"
"Cond125","0.9","0","0","0","10","120","1","0.4"
"Cond126","0.9","0","0","0.3","10","120","1","0.4"
"Cond127","0.9","0","0.6","0","10","120","1","0.4"
"Cond128","0.9","0","0.6","0.3","10","120","1","0.4"
"Cond129","0.45","0","0","0","30","80","1","0.4"
"Cond130","0.45","0","0","0.3","30","80","1","0.4"
"Cond131","0.45","0","0.6","0","30","80","1","0.4"
"Cond132","0.45","0","0.6","0.3","30","80","1","0.4"
"Cond133","0.9","0","0","0","30","80","1","0.4"
"Cond134","0.9","0","0","0.3","30","80","1","0.4"
"Cond135","0.9","0","0.6","0","30","80","1","0.4"
"Cond136","0.9","0","0.6","0.3","30","80","1","0.4"
"Cond137","0.45","0","0","0","30","120","1","0.4"
"Cond138","0.45","0","0","0.3","30","120","1","0.4"
"Cond139","0.45","0","0.6","0","30","120","1","0.4"
"Cond140","0.45","0","0.6","0.3","30","120","1","0.4"
"Cond141","0.9","0","0","0","30","120","1","0.4"
"Cond142","0.9","0","0","0.3","30","120","1","0.4"
"Cond143","0.9","0","0.6","0","30","120","1","0.4"
"Cond144","0.9","0","0.6","0.3","30","120","1","0.4"
"Cond145","0.45","0","0","0","5","80","1.5","0.4"
"Cond146","0.45","0","0","0.3","5","80","1.5","0.4"
"Cond147","0.45","0","0.6","0","5","80","1.5","0.4"
"Cond148","0.45","0","0.6","0.3","5","80","1.5","0.4"
"Cond149","0.9","0","0","0","5","80","1.5","0.4"
"Cond150","0.9","0","0","0.3","5","80","1.5","0.4"
"Cond151","0.9","0","0.6","0","5","80","1.5","0.4"
"Cond152","0.9","0","0.6","0.3","5","80","1.5","0.4"
"Cond153","0.45","0","0","0","5","120","1.5","0.4"
"Cond154","0.45","0","0","0.3","5","120","1.5","0.4"
"Cond155","0.45","0","0.6","0","5","120","1.5","0.4"
"Cond156","0.45","0","0.6","0.3","5","120","1.5","0.4"
"Cond157","0.9","0","0","0","5","120","1.5","0.4"
"Cond158","0.9","0","0","0.3","5","120","1.5","0.4"
"Cond159","0.9","0","0.6","0","5","120","1.5","0.4"
"Cond160","0.9","0","0.6","0.3","5","120","1.5","0.4"
"Cond161","0.45","0","0","0","10","80","1.5","0.4"
"Cond162","0.45","0","0","0.3","10","80","1.5","0.4"
"Cond163","0.45","0","0.6","0","10","80","1.5","0.4"
"Cond164","0.45","0","0.6","0.3","10","80","1.5","0.4"
"Cond165","0.9","0","0","0","10","80","1.5","0.4"
"Cond166","0.9","0","0","0.3","10","80","1.5","0.4"
"Cond167","0.9","0","0.6","0","10","80","1.5","0.4"
"Cond168","0.9","0","0.6","0.3","10","80","1.5","0.4"
"Cond169","0.45","0","0","0","10","120","1.5","0.4"
"Cond170","0.45","0","0","0.3","10","120","1.5","0.4"
"Cond171","0.45","0","0.6","0","10","120","1.5","0.4"
"Cond172","0.45","0","0.6","0.3","10","120","1.5","0.4"
"Cond173","0.9","0","0","0","10","120","1.5","0.4"
"Cond174","0.9","0","0","0.3","10","120","1.5","0.4"
"Cond175","0.9","0","0.6","0","10","120","1.5","0.4"
"Cond176","0.9","0","0.6","0.3","10","120","1.5","0.4"
"Cond177","0.45","0","0","0","30","80","1.5","0.4"
"Cond178","0.45","0","0","0.3","30","80","1.5","0.4"
"Cond179","0.45","0","0.6","0","30","80","1.5","0.4"
"Cond180","0.45","0","0.6","0.3","30","80","1.5","0.4"
"Cond181","0.9","0","0","0","30","80","1.5","0.4"
"Cond182","0.9","0","0","0.3","30","80","1.5","0.4"
"Cond183","0.9","0","0.6","0","30","80","1.5","0.4"
"Cond184","0.9","0","0.6","0.3","30","80","1.5","0.4"
"Cond185","0.45","0","0","0","30","120","1.5","0.4"
"Cond186","0.45","0","0","0.3","30","120","1.5","0.4"
"Cond187","0.45","0","0.6","0","30","120","1.5","0.4"
"Cond188","0.45","0","0.6","0.3","30","120","1.5","0.4"
"Cond189","0.9","0","0","0","30","120","1.5","0.4"
"Cond190","0.9","0","0","0.3","30","120","1.5","0.4"
"Cond191","0.9","0","0.6","0","30","120","1.5","0.4"
"Cond192","0.9","0","0.6","0.3","30","120","1.5","0.4"
"Cond193","0.45","1","0","0","5","80","1","0.6"
"Cond194","0.45","1","0","0.3","5","80","1","0.6"
"Cond195","0.45","1","0.6","0","5","80","1","0.6"
"Cond196","0.45","1","0.6","0.3","5","80","1","0.6"
"Cond197","0.9","1","0","0","5","80","1","0.6"
"Cond198","0.9","1","0","0.3","5","80","1","0.6"
"Cond199","0.9","1","0.6","0","5","80","1","0.6"
"Cond200","0.9","1","0.6","0.3","5","80","1","0.6"
"Cond201","0.45","1","0","0","5","120","1","0.6"
"Cond202","0.45","1","0","0.3","5","120","1","0.6"
"Cond203","0.45","1","0.6","0","5","120","1","0.6"
"Cond204","0.45","1","0.6","0.3","5","120","1","0.6"
"Cond205","0.9","1","0","0","5","120","1","0.6"
"Cond206","0.9","1","0","0.3","5","120","1","0.6"
"Cond207","0.9","1","0.6","0","5","120","1","0.6"
"Cond208","0.9","1","0.6","0.3","5","120","1","0.6"
"Cond209","0.45","1","0","0","10","80","1","0.6"
"Cond210","0.45","1","0","0.3","10","80","1","0.6"
"Cond211","0.45","1","0.6","0","10","80","1","0.6"
"Cond212","0.45","1","0.6","0.3","10","80","1","0.6"
"Cond213","0.9","1","0","0","10","80","1","0.6"
"Cond214","0.9","1","0","0.3","10","80","1","0.6"
"Cond215","0.9","1","0.6","0","10","80","1","0.6"
"Cond216","0.9","1","0.6","0.3","10","80","1","0.6"
"Cond217","0.45","1","0","0","10","120","1","0.6"
"Cond218","0.45","1","0","0.3","10","120","1","0.6"
"Cond219","0.45","1","0.6","0","10","120","1","0.6"
"Cond220","0.45","1","0.6","0.3","10","120","1","0.6"
"Cond221","0.9","1","0","0","10","120","1","0.6"
"Cond222","0.9","1","0","0.3","10","120","1","0.6"
"Cond223","0.9","1","0.6","0","10","120","1","0.6"
"Cond224","0.9","1","0.6","0.3","10","120","1","0.6"
"Cond225","0.45","1","0","0","30","80","1","0.6"
"Cond226","0.45","1","0","0.3","30","80","1","0.6"
"Cond227","0.45","1","0.6","0","30","80","1","0.6"
"Cond228","0.45","1","0.6","0.3","30","80","1","0.6"
"Cond229","0.9","1","0","0","30","80","1","0.6"
"Cond230","0.9","1","0","0.3","30","80","1","0.6"
"Cond231","0.9","1","0.6","0","30","80","1","0.6"
"Cond232","0.9","1","0.6","0.3","30","80","1","0.6"
"Cond233","0.45","1","0","0","30","120","1","0.6"
"Cond234","0.45","1","0","0.3","30","120","1","0.6"
"Cond235","0.45","1","0.6","0","30","120","1","0.6"
"Cond236","0.45","1","0.6","0.3","30","120","1","0.6"
"Cond237","0.9","1","0","0","30","120","1","0.6"
"Cond238","0.9","1","0","0.3","30","120","1","0.6"
"Cond239","0.9","1","0.6","0","30","120","1","0.6"
"Cond240","0.9","1","0.6","0.3","30","120","1","0.6"
"Cond241","0.45","1","0","0","5","80","1.5","0.6"
"Cond242","0.45","1","0","0.3","5","80","1.5","0.6"
"Cond243","0.45","1","0.6","0","5","80","1.5","0.6"
"Cond244","0.45","1","0.6","0.3","5","80","1.5","0.6"
"Cond245","0.9","1","0","0","5","80","1.5","0.6"
"Cond246","0.9","1","0","0.3","5","80","1.5","0.6"
"Cond247","0.9","1","0.6","0","5","80","1.5","0.6"
"Cond248","0.9","1","0.6","0.3","5","80","1.5","0.6"
"Cond249","0.45","1","0","0","5","120","1.5","0.6"
"Cond250","0.45","1","0","0.3","5","120","1.5","0.6"
"Cond251","0.45","1","0.6","0","5","120","1.5","0.6"
"Cond252","0.45","1","0.6","0.3","5","120","1.5","0.6"
"Cond253","0.9","1","0","0","5","120","1.5","0.6"
"Cond254","0.9","1","0","0.3","5","120","1.5","0.6"
"Cond255","0.9","1","0.6","0","5","120","1.5","0.6"
"Cond256","0.9","1","0.6","0.3","5","120","1.5","0.6"
"Cond257","0.45","1","0","0","10","80","1.5","0.6"
"Cond258","0.45","1","0","0.3","10","80","1.5","0.6"
"Cond259","0.45","1","0.6","0","10","80","1.5","0.6"
"Cond260","0.45","1","0.6","0.3","10","80","1.5","0.6"
"Cond261","0.9","1","0","0","10","80","1.5","0.6"
"Cond262","0.9","1","0","0.3","10","80","1.5","0.6"
"Cond263","0.9","1","0.6","0","10","80","1.5","0.6"
"Cond264","0.9","1","0.6","0.3","10","80","1.5","0.6"
"Cond265","0.45","1","0","0","10","120","1.5","0.6"
"Cond266","0.45","1","0","0.3","10","120","1.5","0.6"
"Cond267","0.45","1","0.6","0","10","120","1.5","0.6"
"Cond268","0.45","1","0.6","0.3","10","120","1.5","0.6"
"Cond269","0.9","1","0","0","10","120","1.5","0.6"
"Cond270","0.9","1","0","0.3","10","120","1.5","0.6"
"Cond271","0.9","1","0.6","0","10","120","1.5","0.6"
"Cond272","0.9","1","0.6","0.3","10","120","1.5","0.6"
"Cond273","0.45","1","0","0","30","80","1.5","0.6"
"Cond274","0.45","1","0","0.3","30","80","1.5","0.6"
"Cond275","0.45","1","0.6","0","30","80","1.5","0.6"
"Cond276","0.45","1","0.6","0.3","30","80","1.5","0.6"
"Cond277","0.9","1","0","0","30","80","1.5","0.6"
"Cond278","0.9","1","0","0.3","30","80","1.5","0.6"
"Cond279","0.9","1","0.6","0","30","80","1.5","0.6"
"Cond280","0.9","1","0.6","0.3","30","80","1.5","0.6"
"Cond281","0.45","1","0","0","30","120","1.5","0.6"
"Cond282","0.45","1","0","0.3","30","120","1.5","0.6"
"Cond283","0.45","1","0.6","0","30","120","1.5","0.6"
"Cond284","0.45","1","0.6","0.3","30","120","1.5","0.6"
"Cond285","0.9","1","0","0","30","120","1.5","0.6"
"Cond286","0.9","1","0","0.3","30","120","1.5","0.6"
"Cond287","0.9","1","0.6","0","30","120","1.5","0.6"
"Cond288","0.9","1","0.6","0.3","30","120","1.5","0.6"
"Cond289","0.45","0","0","0","5","80","1","0.6"
"Cond290","0.45","0","0","0.3","5","80","1","0.6"
"Cond291","0.45","0","0.6","0","5","80","1","0.6"
"Cond292","0.45","0","0.6","0.3","5","80","1","0.6"
"Cond293","0.9","0","0","0","5","80","1","0.6"
"Cond294","0.9","0","0","0.3","5","80","1","0.6"
"Cond295","0.9","0","0.6","0","5","80","1","0.6"
"Cond296","0.9","0","0.6","0.3","5","80","1","0.6"
"Cond297","0.45","0","0","0","5","120","1","0.6"
"Cond298","0.45","0","0","0.3","5","120","1","0.6"
