,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,beta2.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,beta2.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,beta2.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,beta2.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,beta2.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,beta2.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,beta2.power,beta2.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
11,Cond11,0.45,1,0.6,0,5,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.003656902,-0.027226289,0.053922992,0.013055852,0.000620669,-0.025400063,-0.006094837,-0.045377148,0.053922992,0.013055852,0.006206688,-0.254000628,0.119493965,0.080419116,0.378431229,0.195872458,0.425684,0.088574495,0.068299775,0.254482077,0.1273364,0.322161786,-0.258753399,-0.150702241,-0.327534154,-0.349901455,-0.243190286,0.897196262,0.934579439,0.962616822,0.897196262,0.985981308,1,0.887850467,NA,0.948598131,NA,NA,NA,0.336448598,NA,0.051401869,NA,NA,NA,1,0.0428
12,Cond12,0.45,1,0.6,0.3,5,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.017137409,0.00608174,-0.012340114,-0.011557702,-0.018707924,0.056566571,-0.028562349,0.010136233,-0.041133713,-0.064209455,-0.187079244,0.565665707,0.088459906,0.087363797,0.344495039,0.139392317,0.440135862,0.074380782,0.067765373,0.25714808,0.100714752,0.332858325,-0.159158254,-0.224331186,-0.253550702,-0.277472721,-0.243737322,0.921465969,0.947643979,0.931937173,0.890052356,0.937172775,0.994764398,0.921465969,NA,0.942408377,NA,0.486910995,NA,0.335078534,NA,0.094240838,NA,0.429319372,NA,1,0.0382
13,Cond13,0.9,1,0,0,5,120,1,0.4,CSMMA,0,0.3,0,0.1,0.027316391,-0.002667011,0.289577237,-0.00067248,0.020776219,0.180043614,0.027316391,-0.004445018,0.289577237,-0.00067248,0.20776219,1.800436144,0.108757136,0.080224601,1.694049257,0.21062533,2.80046957,0.087148086,0.063625831,1.727278043,0.137201392,2.948768541,-0.198690876,-0.206903733,0.019615006,-0.348599753,0.052955037,0.931506849,0.922374429,0.9543379,0.808219178,0.99543379,1,NA,NA,0.96803653,NA,NA,NA,0.278538813,NA,0.01826484,NA,NA,NA,1,0.0438
14,Cond14,0.9,1,0,0.3,5,120,1,0.4,CSMMA,0,0.3,0.3,0.1,0.036319659,0.028318063,0.18706755,-0.027170572,-0.006613117,-0.006233589,0.036319659,0.047196772,0.623558499,-0.027170572,-0.066131166,-0.062335892,0.116675517,0.0829698,1.446975247,0.13576972,1.975479312,0.083720389,0.062817299,1.235243076,0.102749455,1.876917095,-0.282451096,-0.242889588,-0.146327431,-0.243207876,-0.049892811,0.908629442,0.923857868,0.954314721,0.873096447,0.964467005,1,NA,NA,0.989847716,NA,0.223350254,NA,0.284263959,NA,0.030456853,NA,NA,NA,1,0.0394
15,Cond15,0.9,1,0.6,0,5,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.005974062,-0.00388274,-0.013152648,0.002201665,0.001771568,0.022382113,-0.009956769,-0.006471234,-0.013152648,0.002201665,0.017715683,0.223821126,0.116298333,0.075139899,0.45407468,0.135806399,0.458223111,0.080035132,0.069920738,0.238630562,0.099263335,0.296231196,-0.311811871,-0.069459251,-0.474468469,-0.269082047,-0.353521922,0.925438596,0.938596491,0.934210526,0.907894737,0.964912281,1,0.907894737,NA,0.942982456,NA,NA,NA,0.364035088,NA,0.065789474,NA,NA,NA,1,0.0456
16,Cond16,0.9,1,0.6,0.3,5,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,0.021220954,0.00254161,-0.028513951,-0.028372895,-0.002878246,0.035836304,0.035368256,0.004236016,-0.095046505,-0.157627194,-0.028782456,0.358363044,0.136374429,0.076669234,0.304935203,0.172746125,0.371766874,0.088476529,0.07046737,0.233984952,0.10995252,0.284090642,-0.351223467,-0.080891166,-0.232673207,-0.363502246,-0.23583659,0.945544554,0.920792079,0.930693069,0.896039604,0.955445545,0.995049505,0.915841584,NA,0.95049505,NA,0.45049505,NA,0.292079208,NA,0.089108911,NA,0.455445545,NA,1,0.0404
17,Cond17,0.45,1,0,0,10,80,1,0.4,CSMMA,0,0.3,0,0.1,-0.006712759,-0.01112798,0.016935176,-0.002107809,-0.003504877,0.02363833,-0.006712759,-0.018546633,0.016935176,-0.002107809,-0.035048766,0.236383302,0.05412204,0.041467825,0.238902219,0.075531083,0.377987994,0.057049138,0.043008161,0.160557,0.065467339,0.22033657,0.054083286,0.037145331,-0.327938432,-0.133239768,-0.417080506,0.94795539,0.953531599,0.907063197,0.916356877,0.927509294,1,NA,NA,1,NA,NA,NA,0.405204461,NA,0.157992565,NA,NA,NA,1,0.1076
18,Cond18,0.45,1,0,0.3,10,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.009067919,-0.004221277,-0.001567855,0.00299925,0.001479012,-0.019392801,0.009067919,-0.007035462,-0.005226182,0.00299925,0.014790119,-0.193928008,0.058702499,0.038927875,0.228588506,0.078329898,0.360009657,0.056584605,0.042707756,0.1469341,0.063955313,0.207569808,-0.036078442,0.097099596,-0.357211337,-0.183513384,-0.423432666,0.955789474,0.957894737,0.913684211,0.901052632,0.917894737,1,NA,NA,1,NA,0.667368421,NA,0.444210526,NA,0.183157895,NA,NA,NA,1,0.095
19,Cond19,0.45,1,0.6,0,10,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.004341867,-0.014474968,0.009110167,0.004712605,-0.001125175,-0.000152808,-0.007236446,-0.024124947,0.009110167,0.004712605,-0.011251748,-0.001528083,0.049577629,0.049634439,0.122515185,0.060063779,0.13686078,0.054707305,0.053190515,0.128021919,0.062840393,0.12495487,0.103467551,0.071645331,0.044947361,0.046227753,-0.086992859,0.965217391,0.956521739,0.954782609,0.96,0.954782609,1,0.993043478,NA,0.996521739,NA,NA,NA,0.436521739,NA,0.16173913,NA,NA,NA,1,0.115
20,Cond20,0.45,1,0.6,0.3,10,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.001399303,-0.00328901,-0.003419739,-0.00342592,0.002694529,0.008288706,-0.002332171,-0.005481683,-0.011399131,-0.019032891,0.026945287,0.082887058,0.053567497,0.051397813,0.125196241,0.065032622,0.129107506,0.054362385,0.049904242,0.112341169,0.062767993,0.115281279,0.014839,-0.029059045,-0.102679376,-0.034822977,-0.107090806,0.9497307,0.937163375,0.935368043,0.940754039,0.935368043,0.996409336,0.992818671,NA,0.992818671,NA,0.759425494,NA,0.421903052,NA,0.23518851,NA,0.746858169,NA,1,0.1114
