,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
46,Cond142,0.9,0,0,0.3,30,120,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.000972915,-0.003133096,-0.001731028,-0.000511297,-0.001049412,-0.000972915,-0.005221826,-0.005770093,-0.000511297,-0.010494117,0.02420986,0.01765517,0.039554064,0.017822,0.017904632,0.040469032,0.017762765,0.014834266,0.017152974,0.01412973,0.023132067,-0.003323653,0.94872814,0.947138315,0.942766296,0.950715421,1,NA,NA,1,NA,1,NA,0.998410175,NA,NA,NA,1,0.5032
47,Cond143,0.9,0,0.6,0,30,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.00374493,-0.0053553,0.001481139,0.000743694,-0.000424888,-0.00624155,-0.008925499,0.001481139,0.000743694,-0.004248882,0.022679748,0.022500248,0.044435463,0.018082833,0.02301617,0.046996185,0.018151358,0.02812203,0.013142734,0.022929625,0.057627909,0.00378952,0.941201354,0.950930626,0.950507614,0.953891709,1,1,NA,1,NA,NA,NA,0.998307953,NA,NA,NA,1,0.4728
48,Cond144,0.9,0,0.6,0.3,30,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.003727294,-0.002501762,-0.000541666,-0.001574407,-4.22E-05,-0.006212157,-0.004169604,-0.001805553,-0.008746707,-0.000421797,0.022208271,0.021082494,0.040941233,0.016830065,0.021446215,0.041444655,0.016734882,0.027635258,0.017585375,0.017252259,0.012296222,-0.005655513,0.945367294,0.953119232,0.935769657,0.944629014,1,1,NA,1,NA,1,NA,0.99889258,NA,1,NA,1,0.5418
49,Cond145,0.45,0,0,0,5,80,1.5,0.4,CSMMA,0,0.3,0,0.1,0.009414172,-0.002945064,0.021606689,-0.000935941,-0.000179421,0.009414172,-0.00490844,0.021606689,-0.000935941,-0.001794212,0.070821372,0.059543299,0.113698611,0.080778144,0.062225993,0.113978457,0.076091328,0.02126904,0.079873948,0.045054517,0.002461293,-0.058020849,0.954545455,0.956937799,0.933014354,0.947368421,1,NA,NA,0.973684211,NA,NA,NA,0.375598086,NA,NA,NA,1,0.0836
50,Cond146,0.45,0,0,0.3,5,80,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.015243492,-0.009532891,-0.025292201,0.003334164,-0.001905839,0.015243492,-0.015888151,-0.084307336,0.003334164,-0.019058389,0.06701583,0.059380767,0.107753206,0.077957984,0.062823146,0.104966236,0.072209947,0.044789726,0.126439286,0.057971284,-0.025864387,-0.073732489,0.954887218,0.944862155,0.92481203,0.929824561,1,NA,NA,0.974937343,NA,0.721804511,NA,0.385964912,NA,NA,NA,1,0.0798
51,Cond147,0.45,0,0.6,0,5,80,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.036660982,-0.017614544,-0.009167682,-0.006935798,0.006951423,-0.061101637,-0.029357574,-0.009167682,-0.006935798,0.069514228,0.064365254,0.077132126,0.140292075,0.076937219,0.074583274,0.121331332,0.073160391,0.072497931,0.133886582,-0.033045275,-0.135151919,-0.049089733,0.954545455,0.929752066,0.91322314,0.954545455,1,0.954545455,NA,0.929752066,NA,NA,NA,0.458677686,NA,NA,NA,1,0.0484
52,Cond148,0.45,0,0.6,0.3,5,80,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.027733034,0.006389464,-0.006498506,-0.011085493,-0.002148125,-0.046221723,0.010649107,-0.021661688,-0.06158607,-0.021481251,0.067900428,0.068390301,0.114069908,0.081274381,0.067690325,0.104744915,0.067344849,0.072988715,0.054642928,-0.010235016,-0.081748054,-0.17138896,0.950980392,0.960784314,0.924836601,0.941176471,0.990196078,0.95751634,NA,0.970588235,NA,0.758169935,NA,0.450980392,NA,0.679738562,NA,1,0.0612
53,Cond149,0.9,0,0,0,5,80,1.5,0.4,CSMMA,0,0.3,0,0.1,0.003515659,-0.018225482,0.009207042,-0.000681091,0.001306649,0.003515659,-0.030375803,0.009207042,-0.000681091,0.013066495,0.068198621,0.064330911,0.121243442,0.081939742,0.062362693,0.112659587,0.074682533,0.021823171,0.143402889,-0.030595211,-0.070798513,-0.088567629,0.955128205,0.952991453,0.920940171,0.912393162,1,NA,NA,0.961538462,NA,NA,NA,0.388888889,NA,NA,NA,1,0.0936
54,Cond150,0.9,0,0,0.3,5,80,1.5,0.4,CSMMA,0,0.3,0.3,0.1,-0.007149158,-0.001526008,-0.023751803,-0.003703283,-0.006307326,-0.007149158,-0.002543346,-0.079172676,-0.003703283,-0.063073259,0.073625748,0.062161198,0.11482342,0.075327668,0.062601082,0.105929642,0.071341866,0.046870279,0.053056453,0.007076494,-0.077456137,-0.05291286,0.948571429,0.962857143,0.911428571,0.942857143,1,NA,NA,0.985714286,NA,0.728571429,NA,0.38,NA,NA,NA,1,0.07
55,Cond151,0.9,0,0.6,0,5,80,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.043980743,-0.023716817,-0.000380212,-0.001617543,-0.000395244,-0.073301238,-0.039528028,-0.000380212,-0.001617543,-0.003952439,0.061545247,0.07254105,0.12903384,0.075657682,0.074336092,0.121423339,0.073089512,0.070807782,0.154158562,0.024745183,-0.058980659,-0.033944607,0.970149254,0.944029851,0.925373134,0.97761194,1,0.962686567,NA,0.96641791,NA,NA,NA,0.388059701,NA,NA,NA,1,0.0536
56,Cond152,0.9,0,0.6,0.3,5,80,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.027273099,-0.006715781,0.001515671,-0.00799043,-0.010368869,-0.045455166,-0.011192969,0.005052237,-0.044391275,-0.103688694,0.067194887,0.067496649,0.126458387,0.066059692,0.067056944,0.104859758,0.067487956,0.07560388,0.092752208,-0.006514472,-0.170796335,0.021620822,0.951388889,0.930555556,0.913194444,0.951388889,0.996527778,0.958333333,NA,0.982638889,NA,0.75,NA,0.378472222,NA,0.642361111,NA,1,0.0576
57,Cond153,0.45,0,0,0,5,120,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.003781843,-0.011911649,0.005543001,-0.001827829,-0.004289148,-0.003781843,-0.019852748,0.005543001,-0.001827829,-0.042891476,0.060997619,0.051788965,0.103641784,0.07780776,0.051206603,0.092910495,0.059863451,0.015705424,0.057280466,-0.011244901,-0.103542108,-0.23062365,0.941573034,0.946067416,0.914606742,0.948314607,1,NA,NA,0.986516854,NA,NA,NA,0.501123596,NA,NA,NA,1,0.089
58,Cond154,0.45,0,0,0.3,5,120,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.010842483,-0.013161822,-0.013638924,0.002612928,0.001084073,0.010842483,-0.021936371,-0.045463081,0.002612928,0.010840727,0.058745927,0.053256544,0.102992357,0.083610479,0.052480941,0.08638112,0.064074101,0.039355735,0.109138721,-0.014563524,-0.161286112,-0.233659442,0.957783641,0.952506596,0.907651715,0.934036939,1,NA,NA,0.98944591,NA,0.852242744,NA,0.503957784,NA,NA,NA,1,0.0758
59,Cond155,0.45,0,0.6,0,5,120,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.018286311,-0.012364087,0.005432745,0.002776668,-0.002970791,-0.030477185,-0.020606812,0.005432745,0.002776668,-0.029707909,0.055264614,0.059457229,0.105947535,0.060958163,0.06019994,0.09856413,0.058627506,0.059396776,0.09711446,0.012491524,-0.069689253,-0.038233723,0.953488372,0.962209302,0.933139535,0.941860465,1,0.99127907,NA,0.988372093,NA,NA,NA,0.450581395,NA,NA,NA,1,0.0688
60,Cond156,0.45,0,0.6,0.3,5,120,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.006627451,-0.000275767,-0.015129542,-0.011542389,-0.001614652,-0.011045752,-0.000459612,-0.050431808,-0.064124384,-0.016146517,0.059688689,0.057429385,0.097363237,0.061938242,0.055707641,0.085974621,0.057851211,0.060765552,0.010873397,-0.029980196,-0.11697039,-0.065985582,0.921824104,0.93485342,0.908794788,0.944625407,0.996742671,0.993485342,NA,0.993485342,NA,0.850162866,NA,0.511400651,NA,0.824104235,NA,1,0.0614
61,Cond157,0.9,0,0,0,5,120,1.5,0.4,CSMMA,0,0.3,0,0.1,0.006946367,-0.014203782,0.00099911,-0.000343125,-0.00018666,0.006946367,-0.02367297,0.00099911,-0.000343125,-0.001866603,0.056373958,0.049767455,0.100699494,0.066702746,0.050427871,0.092737556,0.061209132,0.015122785,0.157443882,0.01327003,-0.079066319,-0.082359641,0.962555066,0.949339207,0.918502203,0.933920705,1,NA,NA,0.99339207,NA,NA,NA,0.495594714,NA,NA,NA,1,0.0908
62,Cond158,0.9,0,0,0.3,5,120,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.012805882,-0.015838426,-0.011427175,0.002514416,-0.001524943,0.012805882,-0.026397377,-0.038090584,0.002514416,-0.015249427,0.054969198,0.050726203,0.102727245,0.067394028,0.052155473,0.085504362,0.060263525,0.038907769,0.183626546,0.028176168,-0.167656425,-0.105803191,0.961852861,0.948228883,0.896457766,0.942779292,1,NA,NA,0.986376022,NA,0.847411444,NA,0.504087193,NA,NA,NA,1,0.0734
63,Cond159,0.9,0,0.6,0,5,120,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.020967234,-0.009758069,0.010516325,0.006583841,0.000241198,-0.034945391,-0.016263449,0.010516325,0.006583841,0.002411982,0.057937061,0.062067754,0.112874927,0.064829241,0.060479046,0.098524347,0.06046024,0.059306926,0.020546588,-0.025596349,-0.127137006,-0.067392445,0.933701657,0.958563536,0.91160221,0.950276243,1,1,NA,0.980662983,NA,NA,NA,0.483425414,NA,NA,NA,1,0.0724
64,Cond160,0.9,0,0.6,0.3,5,120,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.002360376,0.004799663,-0.007996421,-0.005911053,0.000163669,-0.00393396,0.007999439,-0.026654735,-0.032839183,0.001636691,0.056758254,0.056415283,0.100510695,0.057608119,0.057768748,0.087401451,0.056733023,0.062611199,0.062197205,0.023991106,-0.130426365,-0.015190497,0.951768489,0.942122186,0.900321543,0.942122186,1,0.993569132,NA,0.993569132,NA,0.855305466,NA,0.562700965,NA,0.829581994,NA,1,0.0622
65,Cond161,0.45,0,0,0,10,80,1.5,0.4,CSMMA,0,0.3,0,0.1,0.002258551,-0.013355376,-0.001265426,-0.000564103,0.000429233,0.002258551,-0.02225896,-0.001265426,-0.000564103,0.004292329,0.049893703,0.038266905,0.08703467,0.043254081,0.039730448,0.09383659,0.042770068,0.011954158,0.086502383,0.038245655,0.07815184,-0.011190015,0.959798995,0.950753769,0.947738693,0.954773869,1,NA,NA,1,NA,NA,NA,0.672361809,NA,NA,NA,1,0.199
66,Cond162,0.45,0,0,0.3,10,80,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.001117362,-0.00760719,-0.00126531,-0.000623243,-0.002677567,0.001117362,-0.01267865,-0.004217701,-0.000623243,-0.026775674,0.048278148,0.039824081,0.081554396,0.042742788,0.040065594,0.087224656,0.042315371,0.033137422,0.099042429,0.006064514,0.069527335,-0.009999755,0.950226244,0.947963801,0.937782805,0.963800905,1,NA,NA,1,NA,0.882352941,NA,0.671945701,NA,NA,NA,1,0.1768
67,Cond163,0.45,0,0.6,0,10,80,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.011601876,-0.016112126,0.006928866,0.003949134,-0.00084106,-0.019336459,-0.026853544,0.006928866,0.003949134,-0.0084106,0.045575945,0.04801105,0.091859634,0.044562,0.050067095,0.100546796,0.041965897,0.060236381,0.080474544,0.042824404,0.094569963,-0.058258227,0.958888889,0.948888889,0.95,0.941111111,1,1,NA,0.998888889,NA,NA,NA,0.686666667,NA,NA,NA,1,0.18
68,Cond164,0.45,0,0.6,0.3,10,80,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.003454694,-0.006593831,-0.001008068,-0.002120926,-0.0015721,-0.005757823,-0.010989718,-0.003360226,-0.011782923,-0.015720997,0.045070684,0.047602977,0.089023231,0.038759223,0.047609304,0.088738635,0.039787643,0.06038574,0.083265475,0.000132923,-0.003196871,0.026533531,0.964590965,0.942612943,0.921855922,0.953601954,0.996336996,0.996336996,NA,1,NA,0.85958486,NA,0.722832723,NA,0.844932845,NA,1,0.1638
69,Cond165,0.9,0,0,0,10,80,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.00434071,-0.006268568,-0.000986015,-6.41E-05,0.000872369,-0.00434071,-0.010447614,-0.000986015,-6.41E-05,0.008723686,0.048225609,0.038166844,0.086818884,0.041717126,0.039498539,0.093824257,0.042413502,0.011561623,0.115490394,0.034891434,0.080689509,0.016692804,0.967078189,0.962962963,0.949588477,0.96090535,1,NA,NA,1,NA,NA,NA,0.690329218,NA,NA,NA,1,0.1944
70,Cond166,0.9,0,0,0.3,10,80,1.5,0.4,CSMMA,0,0.3,0.3,0.1,-0.000631303,-0.006990627,-0.004577423,-0.001304769,-0.001229009,-0.000631303,-0.011651045,-0.015258075,-0.001304769,-0.012290087,0.050465177,0.039799939,0.085120591,0.04212702,0.04001148,0.087288648,0.04187497,0.032822146,0.050121401,0.005315104,0.025470418,-0.005983091,0.944134078,0.950837989,0.932960894,0.959776536,1,NA,NA,1,NA,0.87150838,NA,0.690502793,NA,NA,NA,1,0.179
71,Cond167,0.9,0,0.6,0,10,80,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.006418048,-0.020719063,0.012196112,0.006544109,-0.000541517,-0.010696746,-0.034531772,0.012196112,0.006544109,-0.005415171,0.046464408,0.046697002,0.093808401,0.040012732,0.050466368,0.099720529,0.042455707,0.060178715,0.056592509,0.080719669,0.063023438,0.061054935,0.952542373,0.959322034,0.941242938,0.966101695,1,1,NA,0.998870056,NA,NA,NA,0.68700565,NA,NA,NA,1,0.177
72,Cond168,0.9,0,0.6,0.3,10,80,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.016617112,-0.004603111,0.003156466,-0.004060171,-0.001842531,-0.027695187,-0.007671852,0.010521553,-0.022556506,-0.018425307,0.046113832,0.042880285,0.083422752,0.037722134,0.046672986,0.087636689,0.038768415,0.059290725,0.073181349,0.088448593,0.05051304,0.027736545,0.952542373,0.968361582,0.931073446,0.955932203,1,1,NA,1,NA,0.875706215,NA,0.73559322,NA,0.865536723,NA,1,0.177
73,Cond169,0.45,0,0,0,10,120,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.000189667,-0.002960504,0.002818318,-0.000630597,0.000140139,-0.000189667,-0.004934173,0.002818318,-0.000630597,0.001401393,0.04255763,0.032083768,0.074605442,0.03563577,0.03251628,0.076295281,0.034759695,0.008351171,0.054190448,0.013480708,0.022650354,-0.024584128,0.950850662,0.947069943,0.935727788,0.947069943,1,NA,NA,1,NA,NA,NA,0.816635161,NA,NA,NA,1,0.2116
74,Cond170,0.45,0,0,0.3,10,120,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.004874756,-0.008696925,-0.004749618,0.000967007,-0.000814299,0.004874756,-0.014494875,-0.015832061,0.000967007,-0.008142989,0.042445057,0.032635682,0.068128313,0.036008243,0.033022263,0.072825337,0.034738999,0.026731725,0.033237301,0.011845355,0.068943791,-0.035248722,0.945641987,0.946579194,0.937207123,0.937207123,1,NA,NA,1,NA,0.952202437,NA,0.802249297,NA,NA,NA,1,0.2134
75,Cond171,0.45,0,0.6,0,10,120,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.004510251,-0.009447067,0.007505924,0.003736973,0.000674245,-0.007517085,-0.015745111,0.007505924,0.003736973,0.006742449,0.039940189,0.041509975,0.077944344,0.035721198,0.042110543,0.084165493,0.035115416,0.050671858,0.022532494,0.014468035,0.079815274,-0.01695861,0.944936087,0.943952802,0.94100295,0.950835792,1,1,NA,1,NA,NA,NA,0.812192724,NA,NA,NA,1,0.2034
76,Cond172,0.45,0,0.6,0.3,10,120,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.003930036,-0.006822063,-0.001278585,-0.002172862,6.28323717957888e-05,-0.00655006,-0.011370105,-0.00426195,-0.012071455,0.000628324,0.039274011,0.036966361,0.070236742,0.032291807,0.03907403,0.072893968,0.03251675,0.049107268,0.024760609,0.057015853,0.037832424,0.006965951,0.946705426,0.954457364,0.937984496,0.949612403,0.999031008,1,NA,1,NA,0.957364341,NA,0.83624031,NA,0.951550388,NA,1,0.2064
77,Cond173,0.9,0,0,0,10,120,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.00201415,-0.004784096,0.004404116,-0.000549176,0.001143084,-0.00201415,-0.007973493,0.004404116,-0.000549176,0.011430841,0.043729489,0.032718266,0.072978357,0.036942541,0.032949984,0.077084966,0.035685783,0.00848033,0.017976757,0.007082197,0.056271601,-0.034019284,0.948339483,0.946494465,0.949261993,0.944649446,1,NA,NA,1,NA,NA,NA,0.798892989,NA,NA,NA,1,0.2168
78,Cond174,0.9,0,0,0.3,10,120,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.004534275,-0.003198169,-0.002584417,0.000659396,0.001263644,0.004534275,-0.005330282,-0.008614724,0.000659396,0.012636438,0.041348076,0.032786954,0.07131719,0.03399766,0.033059501,0.071977353,0.034401259,0.026933866,0.066551032,0.008312665,0.009256718,0.011871375,0.9543379,0.950684932,0.918721461,0.943378995,1,NA,NA,1,NA,0.962557078,NA,0.816438356,NA,NA,NA,1,0.219
79,Cond175,0.9,0,0.6,0,10,120,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.005050709,-0.007909559,0.006414507,0.003295042,-0.001900868,-0.008417849,-0.013182598,0.006414507,0.003295042,-0.019008675,0.039652413,0.039684491,0.08132418,0.035683722,0.042371518,0.083691306,0.035340709,0.050455326,0.042279775,0.067709751,0.029107289,-0.009612578,0.937931034,0.954679803,0.918226601,0.949753695,1,1,NA,1,NA,NA,NA,0.79408867,NA,NA,NA,1,0.203
80,Cond176,0.9,0,0.6,0.3,10,120,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.004922219,-0.009146033,0.003953773,0.000646998,-0.001895402,-0.008203699,-0.015243389,0.013179245,0.003594431,-0.018954019,0.038076366,0.039465595,0.072172353,0.034753184,0.039564806,0.073776187,0.032959028,0.049947398,0.069932796,0.00251387,0.022222278,-0.051625664,0.950226244,0.942081448,0.926696833,0.941176471,1,1,NA,1,NA,0.952036199,NA,0.801809955,NA,0.945701357,NA,1,0.221
81,Cond177,0.45,0,0,0,30,80,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.000506132,-0.004926452,0.00262198,-0.000155722,-0.00109352,-0.000506132,-0.008210754,0.00262198,-0.000155722,-0.010935203,0.029196362,0.020580816,0.04984242,0.021002593,0.021107408,0.05273349,0.021734822,0.003844239,0.028838556,0.025586544,0.058004191,0.034863756,0.955017301,0.957983193,0.952545724,0.96045477,1,NA,NA,1,NA,NA,NA,0.988630746,NA,NA,NA,1,0.4046
82,Cond178,0.45,0,0,0.3,30,80,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.000544872,-0.006086908,-0.001571062,-8.68E-05,-0.000245131,0.000544872,-0.010144846,-0.005236873,-8.68E-05,-0.002451314,0.028935518,0.021149158,0.048170022,0.020882041,0.021217353,0.048904652,0.021161026,0.017769343,0.014561654,0.003224473,0.015250766,0.013360048,0.945636624,0.946590367,0.946113495,0.950882213,1,NA,NA,1,NA,0.999046257,NA,0.992370052,NA,NA,NA,1,0.4194
83,Cond179,0.45,0,0.6,0,30,80,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.007153696,-0.007630024,0.001952713,0.000853999,-0.001385071,-0.011922827,-0.012716706,0.001952713,0.000853999,-0.013850712,0.027009467,0.026250185,0.053755595,0.020701669,0.02750741,0.057120997,0.021577944,0.034062541,0.004690293,0.047893955,0.062605617,0.04232872,0.947016461,0.957304527,0.951131687,0.960390947,0.998971193,1,NA,1,NA,NA,NA,0.986625514,NA,NA,NA,1,0.3888
84,Cond180,0.45,0,0.6,0.3,30,80,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.00488737,-0.004125731,-4.66E-05,-0.001592402,-0.000763543,-0.008145616,-0.006876219,-0.000155454,-0.00884668,-0.007635426,0.025550756,0.02523121,0.047757824,0.020029375,0.025384839,0.049705526,0.019745192,0.033165106,0.057417063,0.006088851,0.040782879,-0.014188314,0.955916473,0.946635731,0.943387471,0.950348028,1,1,NA,1,NA,1,NA,0.993039443,NA,1,NA,1,0.431
85,Cond181,0.9,0,0,0,30,80,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.001604926,-0.005468907,-0.000702021,-0.000318118,-0.001137407,-0.001604926,-0.009114846,-0.000702021,-0.000318118,-0.01137407,0.029770429,0.020473261,0.050288408,0.021307643,0.021032619,0.05308721,0.021517784,0.003896651,0.004181275,0.027321407,0.055655012,0.009862232,0.94431109,0.956793087,0.94575132,0.948631781,1,NA,NA,1,NA,NA,NA,0.986557849,NA,NA,NA,1,0.4166
86,Cond182,0.9,0,0,0.3,30,80,1.5,0.4,CSMMA,0,0.3,0.3,0.1,-0.001359709,-0.005211917,-0.004739083,-0.000766054,-0.000847399,-0.001359709,-0.008686528,-0.015796943,-0.000766054,-0.008473994,0.029298315,0.020674381,0.047953372,0.020329211,0.021225993,0.048901464,0.021099113,0.017672265,0.00587074,0.026680961,0.019771114,0.037871746,0.942432683,0.951717734,0.946146704,0.95264624,1,NA,NA,1,NA,1,NA,0.993036212,NA,NA,NA,1,0.4308
87,Cond183,0.9,0,0.6,0,30,80,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.006325955,-0.006871423,0.001697082,0.000792401,-0.001217589,-0.010543258,-0.011452372,0.001697082,0.000792401,-0.012175886,0.026465325,0.026008284,0.05339521,0.021396853,0.027429614,0.056880669,0.021600163,0.033955093,0.031515748,0.054649113,0.065276624,0.009501863,0.948857994,0.954816286,0.952830189,0.944885799,1,1,NA,1,NA,NA,NA,0.98857994,NA,NA,NA,1,0.4028
88,Cond184,0.9,0,0.6,0.3,30,80,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.006127082,-0.00533456,0.001217416,-0.001243808,-0.000640351,-0.010211803,-0.008890934,0.004058053,-0.006910044,-0.006403507,0.026146189,0.025263043,0.048885138,0.020089539,0.02536562,0.049723635,0.019788633,0.033165592,0.033238014,0.004060375,0.017152396,-0.014978222,0.950906678,0.946041575,0.937195931,0.949579832,1,1,NA,1,NA,0.999557718,NA,0.99601946,NA,0.999557718,NA,1,0.4522
89,Cond185,0.45,0,0,0,30,120,1.5,0.4,CSMMA,0,0.3,0,0.1,0.001175209,-0.003447886,-0.001121442,-0.000217566,-0.000273524,0.001175209,-0.005746477,-0.001121442,-0.000217566,-0.002735238,0.02467598,0.017797754,0.042540578,0.018235785,0.017700757,0.044030191,0.018072098,0.00270685,0.003621981,-0.005449943,0.035016282,-0.008976166,0.945621751,0.946821271,0.945221911,0.946821271,1,NA,NA,1,NA,NA,NA,0.99880048,NA,NA,NA,1,0.5002
90,Cond186,0.45,0,0,0.3,30,120,1.5,0.4,CSMMA,0,0.3,0.3,0.1,0.000462933,-0.003495125,-0.001551363,-5.38E-05,3.20640673539811e-05,0.000462933,-0.005825208,-0.005171208,-5.38E-05,0.000320641,0.024471212,0.01774574,0.040463176,0.018339691,0.017885637,0.040449619,0.017743302,0.014810884,0.003313141,0.007883418,-0.000335057,-0.032519057,0.941267989,0.952547647,0.934655776,0.938156359,1,NA,NA,1,NA,1,NA,0.998833139,NA,NA,NA,1,0.5142
91,Cond187,0.45,0,0.6,0,30,120,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.003356214,-0.004891335,0.002583381,0.001328315,-0.000891522,-0.00559369,-0.008152225,0.002583381,0.001328315,-0.00891522,0.022599979,0.022715803,0.046182452,0.018201069,0.023073144,0.047342878,0.018096775,0.028369133,0.015820091,0.015730942,0.025126983,-0.005730104,0.949377593,0.946473029,0.94439834,0.943153527,1,1,NA,1,NA,NA,NA,0.997925311,NA,NA,NA,1,0.482
92,Cond188,0.45,0,0.6,0.3,30,120,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.002927315,-0.003819492,9.63731025621824e-05,-0.000994863,-0.000673315,-0.004878858,-0.00636582,0.000321244,-0.005527018,-0.006733149,0.022389456,0.021227426,0.040271836,0.016953024,0.021452697,0.041500553,0.016766626,0.027700474,0.011196287,0.010612217,0.030510586,-0.01099495,0.947178003,0.945007236,0.947539797,0.944283647,1,1,NA,1,NA,1,NA,0.998914616,NA,1,NA,1,0.5528
93,Cond189,0.9,0,0,0,30,120,1.5,0.4,CSMMA,0,0.3,0,0.1,-0.000518568,-0.004022344,-0.000263271,-0.000169684,-0.001431723,-0.000518568,-0.006703906,-0.000263271,-0.000169684,-0.014317226,0.024754562,0.0177872,0.042512154,0.018217243,0.017674988,0.044031488,0.018140237,0.002709246,0.00592684,-0.00630856,0.035738806,-0.004227093,0.94394801,0.945572705,0.940698619,0.941917141,1,NA,NA,1,NA,NA,NA,0.997156783,NA,NA,NA,1,0.4924
94,Cond190,0.9,0,0,0.3,30,120,1.5,0.4,CSMMA,0,0.3,0.3,0.1,-0.00032239,-0.00257318,-0.001075412,-0.000219429,-0.001250235,-0.00032239,-0.004288633,-0.003584705,-0.000219429,-0.012502347,0.023798343,0.017809927,0.039907855,0.01766595,0.01784479,0.040724056,0.017665667,0.014839512,0.032640003,0.001957503,0.020452145,-1.60E-05,0.953703704,0.947530864,0.937885802,0.948688272,1,NA,NA,1,NA,0.999614198,NA,0.998070988,NA,NA,NA,1,0.5184
95,Cond191,0.9,0,0.6,0,30,120,1.5,0.4,CSMMA,0.3,0.3,0,0.1,-0.003698514,-0.003537005,0.001641027,0.000827364,-0.000601658,-0.006164191,-0.005895009,0.001641027,0.000827364,-0.006016576,0.022125441,0.022586747,0.045953269,0.018019203,0.023062542,0.0475709,0.01812961,0.028481201,0.03265876,0.021065239,0.035201658,0.006127206,0.950647249,0.950647249,0.937297735,0.953074434,0.999595469,1,NA,1,NA,NA,NA,0.997977346,NA,NA,NA,1,0.4944
96,Cond192,0.9,0,0.6,0.3,30,120,1.5,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.003273053,-0.003430881,0.00079228,-0.000664573,-0.000730373,-0.005455089,-0.005718135,0.002640933,-0.00369207,-0.00730373,0.022304835,0.021749493,0.041068829,0.017132382,0.021534763,0.041599406,0.016715488,0.027777713,0.017248372,-0.009872883,0.012919232,-0.024333703,0.946153846,0.938095238,0.93992674,0.943956044,0.9996337,1,NA,1,NA,1,NA,0.9996337,NA,1,NA,1,0.546
97,Cond289,0.45,0,0,0,5,80,1,0.6,CSMMA,0,0.3,0,0.1,0.04244107,-0.011296059,0.006577936,-0.001883475,-0.006791232,0.04244107,-0.018826765,0.006577936,-0.001883475,-0.067912316,0.108908284,0.060483646,0.115688169,0.112417367,0.062444882,0.111305864,0.074029946,0.032633188,0.053085506,0.0324259,-0.037880324,-0.341472334,0.950672646,0.964125561,0.919282511,0.937219731,1,NA,NA,0.99103139,NA,NA,NA,0.412556054,NA,NA,NA,1,0.0446
