,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
11,Cond107,0.45,0,0.6,0,5,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.022875986,-0.014845684,0.018825745,0.009424657,-0.002195116,-0.038126643,-0.024742807,0.018825745,0.009424657,-0.021951156,0.055336311,0.058659117,0.113208878,0.063276094,0.060458902,0.098857357,0.062220818,0.059211939,0.084608239,0.0306821,-0.126770274,-0.016677334,0.945402299,0.956896552,0.902298851,0.942528736,1,0.982758621,NA,0.982758621,NA,NA,NA,0.465517241,NA,NA,NA,1,0.0696
12,Cond108,0.45,0,0.6,0.3,5,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.011605263,0.000860373,-0.021648439,-0.016895305,-0.008362575,-0.019342104,0.001433955,-0.072161465,-0.093862807,-0.083625754,0.056395705,0.061887698,0.101420768,0.064501677,0.056726062,0.088083,0.058462678,0.061767928,0.076473053,-0.083403269,-0.131509242,-0.093625457,0.958990536,0.936908517,0.917981073,0.924290221,1,0.990536278,NA,0.993690852,NA,0.842271293,NA,0.470031546,NA,0.794952681,NA,1,0.0634
13,Cond109,0.9,0,0,0,5,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.007566028,-0.0089642,0.009373177,-0.002106775,0.002954486,-0.007566028,-0.014940334,0.009373177,-0.002106775,0.029544864,0.060651537,0.050336707,0.103484807,0.063800693,0.049925372,0.092936864,0.060697541,0.01572919,0.06916486,-0.008171676,-0.10192746,-0.048638213,0.951162791,0.974418605,0.911627907,0.927906977,1,NA,NA,0.997674419,NA,NA,NA,0.511627907,NA,NA,NA,1,0.086
14,Cond110,0.9,0,0,0.3,5,120,1,0.4,CSMMA,0,0.3,0.3,0.1,0.005403945,-0.00788145,-0.014211606,0.000383944,0.002446789,0.005403945,-0.01313575,-0.04737202,0.000383944,0.024467892,0.058131914,0.04579408,0.096752356,0.072114661,0.050935903,0.084708367,0.062167378,0.037630881,0.090976356,0.11228138,-0.124482646,-0.13793704,0.93768546,0.964391691,0.908011869,0.931750742,1,NA,NA,0.997032641,NA,0.872403561,NA,0.489614243,NA,NA,NA,1,0.0674
15,Cond111,0.9,0,0.6,0,5,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.023601701,-0.022064209,0.007651405,0.004496,0.003446754,-0.039336168,-0.036773681,0.007651405,0.004496,0.034467536,0.059220918,0.064969095,0.110761221,0.073761602,0.060361439,0.098149995,0.062895103,0.058604597,0.01296261,-0.07092074,-0.11385958,-0.147319183,0.934285714,0.945714286,0.92,0.96,1,0.994285714,NA,0.98,NA,NA,NA,0.52,NA,NA,NA,1,0.07
16,Cond112,0.9,0,0.6,0.3,5,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.000841047,-0.001064696,-0.017360873,-0.011181158,-8.79E-05,-0.001401744,-0.001774493,-0.057869576,-0.062117546,-0.000878812,0.058225909,0.060462687,0.103664421,0.064034419,0.057739509,0.087603043,0.059212228,0.062626635,0.03949912,-0.045038987,-0.154936263,-0.075306226,0.93255132,0.935483871,0.900293255,0.950146628,1,0.991202346,NA,0.985337243,NA,0.824046921,NA,0.513196481,NA,0.774193548,NA,1,0.0682
17,Cond113,0.45,0,0,0,10,80,1,0.4,CSMMA,0,0.3,0,0.1,0.001609448,-0.010027369,-0.000485817,-0.000681841,-0.000192235,0.001609448,-0.016712281,-0.000485817,-0.000681841,-0.001922354,0.050148255,0.039223762,0.086516275,0.042645391,0.039739471,0.092868923,0.042562863,0.011687034,0.073329458,0.01314788,0.073427207,-0.001935213,0.958241758,0.949450549,0.941758242,0.96043956,1,NA,NA,1,NA,NA,NA,0.672527473,NA,NA,NA,1,0.182
18,Cond114,0.45,0,0,0.3,10,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.006364616,-0.012930514,-0.003771314,0.001258202,-0.002727113,0.006364616,-0.021550856,-0.012571048,0.001258202,-0.027271132,0.050146607,0.037251198,0.084481619,0.040450145,0.039768052,0.085401975,0.042137148,0.032582295,0.052424453,0.067564363,0.010894158,0.041705715,0.948096886,0.949250288,0.928489043,0.956170704,1,NA,NA,1,NA,0.881199539,NA,0.653979239,NA,NA,NA,1,0.1734
19,Cond115,0.45,0,0.6,0,10,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.009638241,-0.010525489,0.002323629,0.000373125,-0.001965361,-0.016063735,-0.017542481,0.002323629,0.000373125,-0.019653609,0.045972742,0.047815912,0.090755094,0.044324456,0.049910964,0.098595729,0.042529692,0.059225554,0.081038191,0.043814962,0.086393334,-0.040491505,0.952702703,0.95045045,0.95045045,0.947072072,1,1,NA,0.998873874,NA,NA,NA,0.655405405,NA,NA,NA,1,0.1776
20,Cond116,0.45,0,0.6,0.3,10,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.005165368,-0.007272684,0.00240707,-0.00043671,-0.002971711,-0.008608947,-0.01212114,0.008023566,-0.002426164,-0.029717114,0.044036939,0.046373251,0.080511084,0.042487324,0.046917299,0.088739696,0.038700967,0.05995931,0.106324195,0.011731946,0.102204712,-0.08911735,0.955916473,0.952436195,0.954756381,0.950116009,0.997679814,0.998839907,NA,1,NA,0.889791183,NA,0.737819026,NA,0.873549884,NA,1,0.1724
21,Cond117,0.9,0,0,0,10,80,1,0.4,CSMMA,0,0.3,0,0.1,0.001186138,-0.010001695,-0.001776688,-0.00050773,-0.003871381,0.001186138,-0.016669492,-0.001776688,-0.00050773,-0.038713806,0.049770914,0.038442217,0.087276564,0.042550374,0.0397054,0.092887891,0.04275692,0.011896825,0.08073416,0.032859284,0.064293628,0.004854149,0.949678801,0.950749465,0.945396146,0.944325482,1,NA,NA,1,NA,NA,NA,0.67130621,NA,NA,NA,1,0.1868
22,Cond118,0.9,0,0,0.3,10,80,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.004028007,-0.007888315,-0.006788126,-0.001466004,-0.001448901,-0.004028007,-0.013147191,-0.022627085,-0.001466004,-0.014489015,0.047449571,0.03758272,0.085415874,0.039244606,0.039687998,0.087089483,0.042012205,0.032442836,0.115974721,0.056017183,0.019593651,0.070521767,0.959016393,0.953161593,0.923887588,0.964871194,1,NA,NA,1,NA,0.87704918,NA,0.675644028,NA,NA,NA,1,0.1708
23,Cond119,0.9,0,0.6,0,10,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.001631636,-0.01171287,0.007270816,0.003806919,-0.001742017,-0.002719393,-0.01952145,0.007270816,0.003806919,-0.017420165,0.044241322,0.047606634,0.093758023,0.044306267,0.050499844,0.101123561,0.042162645,0.061691129,0.117932069,0.060773253,0.078559026,-0.048381911,0.950969213,0.956670468,0.940706956,0.954389966,1,1,NA,1,NA,NA,NA,0.672748005,NA,NA,NA,1,0.1754
24,Cond120,0.9,0,0.6,0.3,10,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.007245319,-0.003679229,-0.002590256,-0.004126992,-0.000901186,-0.012075532,-0.006132049,-0.008634188,-0.022927732,-0.009011858,0.045183702,0.04450505,0.084667849,0.038305469,0.046998028,0.088486376,0.038623671,0.059931955,0.090721335,0.056015617,0.045100084,0.00830696,0.955428571,0.96,0.948571429,0.953142857,1,1,NA,1,NA,0.878857143,NA,0.724571429,NA,0.859428571,NA,1,0.175
