"Cond#","Rho","HetInd","a.ps","b.s","K","Nbar","postVar"
"Cond123","0.45","0","0.6","0","10","120","1"
"Cond124","0.45","0","0.6","0.3","10","120","1"
"Cond125","0.9","0","0","0","10","120","1"
"Cond126","0.9","0","0","0.3","10","120","1"
"Cond127","0.9","0","0.6","0","10","120","1"
"Cond128","0.9","0","0.6","0.3","10","120","1"
"Cond129","0.45","0","0","0","30","80","1"
"Cond130","0.45","0","0","0.3","30","80","1"
"Cond131","0.45","0","0.6","0","30","80","1"
"Cond132","0.45","0","0.6","0.3","30","80","1"
"Cond133","0.9","0","0","0","30","80","1"
"Cond134","0.9","0","0","0.3","30","80","1"
"Cond135","0.9","0","0.6","0","30","80","1"
"Cond136","0.9","0","0.6","0.3","30","80","1"
"Cond137","0.45","0","0","0","30","120","1"
"Cond138","0.45","0","0","0.3","30","120","1"
"Cond139","0.45","0","0.6","0","30","120","1"
"Cond140","0.45","0","0.6","0.3","30","120","1"
"Cond141","0.9","0","0","0","30","120","1"
"Cond142","0.9","0","0","0.3","30","120","1"
"Cond143","0.9","0","0.6","0","30","120","1"
"Cond144","0.9","0","0.6","0.3","30","120","1"
"Cond145","0.45","0","0","0","5","80","1.5"
"Cond146","0.45","0","0","0.3","5","80","1.5"
"Cond147","0.45","0","0.6","0","5","80","1.5"
"Cond148","0.45","0","0.6","0.3","5","80","1.5"
"Cond149","0.9","0","0","0","5","80","1.5"
"Cond150","0.9","0","0","0.3","5","80","1.5"
"Cond151","0.9","0","0.6","0","5","80","1.5"
"Cond152","0.9","0","0.6","0.3","5","80","1.5"
"Cond153","0.45","0","0","0","5","120","1.5"
"Cond154","0.45","0","0","0.3","5","120","1.5"
"Cond155","0.45","0","0.6","0","5","120","1.5"
"Cond156","0.45","0","0.6","0.3","5","120","1.5"
"Cond157","0.9","0","0","0","5","120","1.5"
"Cond158","0.9","0","0","0.3","5","120","1.5"
"Cond159","0.9","0","0.6","0","5","120","1.5"
"Cond160","0.9","0","0.6","0.3","5","120","1.5"
"Cond161","0.45","0","0","0","10","80","1.5"
"Cond162","0.45","0","0","0.3","10","80","1.5"
"Cond163","0.45","0","0.6","0","10","80","1.5"
"Cond164","0.45","0","0.6","0.3","10","80","1.5"
"Cond165","0.9","0","0","0","10","80","1.5"
"Cond166","0.9","0","0","0.3","10","80","1.5"
"Cond167","0.9","0","0.6","0","10","80","1.5"
"Cond168","0.9","0","0.6","0.3","10","80","1.5"
"Cond169","0.45","0","0","0","10","120","1.5"
"Cond170","0.45","0","0","0.3","10","120","1.5"
"Cond171","0.45","0","0.6","0","10","120","1.5"
"Cond172","0.45","0","0.6","0.3","10","120","1.5"
"Cond173","0.9","0","0","0","10","120","1.5"
"Cond174","0.9","0","0","0.3","10","120","1.5"
"Cond175","0.9","0","0.6","0","10","120","1.5"
"Cond176","0.9","0","0.6","0.3","10","120","1.5"
"Cond177","0.45","0","0","0","30","80","1.5"
"Cond178","0.45","0","0","0.3","30","80","1.5"
"Cond179","0.45","0","0.6","0","30","80","1.5"
"Cond180","0.45","0","0.6","0.3","30","80","1.5"
"Cond181","0.9","0","0","0","30","80","1.5"
"Cond182","0.9","0","0","0.3","30","80","1.5"
"Cond183","0.9","0","0.6","0","30","80","1.5"
"Cond184","0.9","0","0.6","0.3","30","80","1.5"
"Cond185","0.45","0","0","0","30","120","1.5"
"Cond186","0.45","0","0","0.3","30","120","1.5"
"Cond187","0.45","0","0.6","0","30","120","1.5"
"Cond188","0.45","0","0.6","0.3","30","120","1.5"
"Cond189","0.9","0","0","0","30","120","1.5"
"Cond190","0.9","0","0","0.3","30","120","1.5"
"Cond191","0.9","0","0.6","0","30","120","1.5"
"Cond192","0.9","0","0.6","0.3","30","120","1.5"
